GENESIS table: 32136-0010
Company, Collected sales packaging from private;;;;
End users: federal states, years;;;;
Survey on returned sales packaging;;;;
;;Company;Collected sales packaging. v. private end users; req. Sales packaging. v. private end use per inhabitant
;;Number;1000 t;kg
2010;Baden-Wuerttemberg;.;746.9;69
2010;Bavaria;.;800.1;64
2010;Berlin;.;208.1;60
2010;Brandenburg;.;205.6;82
2010;Bremen;.;55.1;83
2010;Hamburg;.;90.2;50
2010;Hesse;.;428.5;71
2010;Mecklenburg-Western Pomerania;.;140.5;86
2010;Lower Saxony;.;598.1;76
2010;North Rhine-Westphalia;.;1228.1;69
2010;Rhineland-Palatinate;.;308.1;77
2010;Saarland;.;63.9;63
2010;Saxony;.;333.7;80
2010;Saxony-Anhalt;.;191.7;82
2010; Schleswig-Holstein;.; 208.0; 73
2010;Thuringia;.;166.2;74
2011;Baden-Wuerttemberg;.;737.0;70
2011;Bavaria;.;814.5;65
2011;Berlin;.;214.7;65
2011;Brandenburg;.;213.8;87
2011; Bremen;.; 63.1; 97
2011; Hamburg;.; 94.9; 55
2011;Hesse;.;431.4;72
2011;Mecklenburg-Western Pomerania;.;155.1;97
2011;Lower Saxony;.;624.2;80
2011;North Rhine-Westphalia;.;1248.8;71
2011;Rhineland-Palatinate;.;319.1;80
2011;Saarland;.;74.2;74
2011;Saxony;.;330.7;82
2011;Saxony-Anhalt;.;198.6;87
2011;Schleswig-Holstein;.;224.8;80
2011;Thuringia;.;168.2;77
2012;Baden-Wuerttemberg;.;829.5;78
2012;Bavaria;.;822.1;66
2012;Berlin;.;211.9;63
2012;Brandenburg;.;211.8;86
2012;Bremen;.;60.8;93
2012; Hamburg;.; 99.8; 58
2012;Hesse;.;433.1;72
2012;Mecklenburg-Western Pomerania;.;142.0;89
2012;Lower Saxony;.;619.9;80
2012;North Rhine-Westphalia;.;1308.1;75
2012;Rhineland-Palatinate;.;321.6;81
2012;Saarland;.;73.4;74
2012;Saxony;.;335.0;83
2012;Saxony-Anhalt;.;190.0;84
2012;Schleswig-Holstein;.;222.3;79
2012;Thuringia;.;170.7;79
2013;Baden-Wuerttemberg;.;883.5;83
2013;Bavaria;.;868.6;69
2013;Berlin;.;223.6;65
2013;Brandenburg;.;217.7;89
2013;Bremen;.;54.0;82
2013; Hamburg;.; 101.1; 58
2013;Hessen;.;449.9;74
2013;Mecklenburg-Western Pomerania;.;162.4;102
2013;Lower Saxony;.;619.6;80
2013;North Rhine-Westphalia;.;1424.5;81
2013;Rhineland-Palatinate;.;340.6;85
2013;Saarland;.;78.1;79
2013;Saxony;.;345.3;85
2013;Saxony-Anhalt;.;193.7;86
2013;Schleswig-Holstein;.;236.3;84
2013;Thuringia;.;183.1;85
2014;Baden-Württemberg;.;877.4;82
2014;Bavaria;.;847.9;67
2014;Berlin;.;213.1;61
2014;Brandenburg;.;212.2;86
2014; Bremen;.; 53.9; 81
2014; Hamburg;.; 103.7; 59
2014;Hesse;.;455.1;75
2014;Mecklenburg-Western Pomerania;.;163.4;102
2014;Lower Saxony;.;642.0;82
2014;North Rhine-Westphalia;.;1437.8;82
2014;Rhineland-Palatinate;.;333.6;83
2014;Saarland;.;75.3;76
2014;Saxony;.;351.4;87
2014;Saxony-Anhalt;.;199.2;89
2014; Schleswig-Holstein;.; 229.8; 81
2014;Thuringia;.;178.7;83
2015;Baden-Württemberg;.;808.2;74
2015;Bavaria;.;749.2;58
2015;Berlin;.;184.5;52
2015;Brandenburg;.;192.4;77
2015;Bremen;.;42.4;63
2015;Hamburg;.;88.3;49
2015;Hessen;.;409.9;66
2015;Mecklenburg-Western Pomerania;.;134.1;83
2015;Lower Saxony;.;568.6;72
2015;North Rhine-Westphalia;.;1173.7;66
2015;Rhineland-Palatinate;.;311.4;77
2015;Saarland;.;71.7;72
2015;Saxony;.;308.4;75
2015;Saxony-Anhalt;.;177.1;79
2015; Schleswig-Holstein;.; 214.3; 75
2015;Thuringia;.;164.2;76
2016;Baden-Wuerttemberg;.;818.4;75
2016;Bavaria;.;755.7;58
2016;Berlin;.;186.4;52
2016;Brandenburg;.;195.7;78
2016;Bremen;.;42.9;63
2016; Hamburg;.; 95.0; 52
2016;Hesse;.;411.6;66
2016;Mecklenburg-Western Pomerania;.;135.2;84
2016;Lower Saxony;.;579.9;73
2016;North Rhine-Westphalia;.;1175.6;66
2016;Rhineland-Palatinate;.;311.5;77
2016;Saarland;.;69.6;70
2016;Saxony;.;310.0;76
2016;Saxony-Anhalt;.;177.2;79
2016;Schleswig-Holstein;.;216.5;75
2016;Thuringia;.;166.1;77
2017;Baden-Württemberg;.;804.1;73
2017;Bavaria;.;777.0;60
2017;Berlin;.;190.4;53
2017;Brandenburg;.;199.5;80
2017; Bremen;.; 42.8; 63
2017; Hamburg;.; 97.4; 53
2017;Hesse;.;415.5;67
2017;Mecklenburg-Western Pomerania;.;137.6;85
2017;Lower Saxony;.;577.9;73
2017;North Rhine-Westphalia;.;1189.1;66
2017;Rhineland-Palatinate;.;312.9;77
2017;Saarland;.;76.4;77
2017;Saxony;.;312.2;76
2017;Saxony-Anhalt;.;179.2;81
2017;Schleswig-Holstein;.;213.4;74
2017;Thuringia;.;169.1;79
2018;Baden-Württemberg;.;805.1;73
2018;Bavaria;.;764.7;58
2018;Berlin;.;192.6;53
2018;Brandenburg;.;194.9;78
2018;Bremen;.;42.2;62
2018;Hamburg;.;404.4;57
2018;Hesse;.;416.9;67
2018;Mecklenburg-Western Pomerania;.;133.1;83
2018;Lower Saxony;.;568.8;71
2018;North Rhine-Westphalia;.;1188.6;66
2018;Rhineland-Palatinate;.;314.8;77
2018;Saarland;.;74.2;75
2018;Saxony;.;302.5;74
2018;Saxony-Anhalt;.;176.7;80
2018; Schleswig-Holstein;.; 224.2; 77
2018;Thuringia;.;164.6;77
2019;Baden-Württemberg;.;807.9;73
2019;Bavaria;.;838.4;64
2019;Berlin;.;207.9;57
2019;Brandenburg;.;206.7;82
2019;Bremen;.;48.3;71
2019;Hamburg;.;115.4;62
2019;Hesse;.;413.1;66
2019;Mecklenburg-Western Pomerania;.;144.3;90
2019;Lower Saxony;.;620.3;78
2019;North Rhine-Westphalia;.;1234.9;69
2019;Rhineland-Palatinate;.;329.8;81
2019;Saarland;.;71.9;73
2019;Saxony;.;330.1;81
2019;Saxony-Anhalt;.;186.1;85
2019;Schleswig-Holstein;.;226.0;78
2019;Thuringia;.;168.7;79
2020;Baden-Württemberg;.;908.8;82
2020;Bavaria;.;918.9;70
2020;Berlin;.;191.7;52
2020;Brandenburg;.;225.4;89
2020;Bremen;.;45.3;67
2020;Hamburg;.;111.0;60
2020;Hessen;.;471.3;75
2020;Mecklenburg-Western Pomerania;.;146.3;91
2020;Lower Saxony;.;687.5;86
2020;North Rhine-Westphalia;.;1354.2;76
2020;Rhineland-Palatinate;.;385.8;94
2020;Saarland;.;87.0;88
2020;Saxony;.;343.0;85
2020;Saxony-Anhalt;.;198.0;91
2020;Schleswig-Holstein;.;248.6;85
2020;Thuringia;.;180.0;85
__________
© Federal Statistical Office (Destatis), 2023
Status: 08/30/2023 / 20:56:52
