year,types_of_waste,etroi_establishments_number,generated_waste_quantity
2010,Falls from the extraction of land values,2305.0,23.8
2010, Cases from dismantling v. metal-rich soil resources,3.0,1.7
2010, Cases from dismantling v. non-metal Floor shows,3.0,13.7
2010, Acid forming treatment residues a. sul. ore,2305.0,23.8
2010, Other treatment residues with hazardous substances,2305.0,23.8
2010, Treatment residues (other than 010304 and 010305),2305.0,23.8
2010, Cases from processing metallized earthenware,2305.0,23.8
2010, Dusty and powdery waste (oh 010307),2305.0,23.8
2010, Red Mud from Aluminum Oxide Manufacturing(oh.010310),2305.0,23.8
2010, Verrab. of metals. Appreciation,2305.0,23.8
2010,Waste for further processing non-metal Ground visors,3.0,1.0
2010, Falls of gravel and rock quarry (OH 010407),16.0,140.4
2010, Fall of Sand and Clay,15.0,15.9
2010, Dusty and powdery waste (oh 010407),18.0,41.4
2010, Cases from processing v.potash and rock salt (oh.010407),6.0,10.9
2010, Processing return including waste (oh.010407010411),2305.0,23.8
2010, Waste from stonemasonry and sawmill work (OH 010407),23.0,69.8
2010, Verrab. v. non-metal Floor protection: Falling angle,7.0,0.3
2010, Shells and falls from fresh water boreholes,5.0,42.9
2010, Oil-containing boreholes and wells,8.0,72.2
2010, Drill holes or drill holes with danger. substances,3.0,3.1
2010, Barite-containing drilling cuttings and waste (oh.010505010506),2305.0,23.8
2010, Chloride content. Drilling cuttings waste (oh.010505010506),7.0,15.4
2010, Drilling mud and other boreholes:,2305.0,23.8
2010,Crops from agriculture forestry etc.,2305.0,23.8
2010, Agrarsch.ua: sludge from washing cleaning process.,15.0,16.8
2010, Agrarsch.ua: Falls from animal tissue,25.0,64.6
2010, Landwirtschaftsch.ua: Absences from vegetal tissue,88.0,216.7
2010, Agriculture etc.: plastic waste (without packaging),49.0,147.7
2010, Animal excrement liquid manure/slurry manure,61.0,70.8
2010, Fall from the forestry,12.0,0.1
2010, Uses of chemicals for agriculture,25.0,1.7
2010, waste v. chemistry. for agriculture(oh.020108),5.0,0.6
2010, Agriculture et al.: metallab fields,30.0,1.2
2010, Agriculture among others: Farmland,14.0,1.2
2010, Meat etc.: sludge from washing and cleaning processes,55.0,29.7
2010, Flesh et al.: Abscesses from fatty tissue,217.0,450.0
2010, Meat and others: For consumption/processing. unsuitable substances,293.0,429.5
2010, Meat etc.: sludge (own waste water treatment),2174.0,543.4
2010, marriage of meat fish etc.: Waste nec,60.0,143.1
2010, Fruit among others: scum from washing cleaning process. etc,50.0,92.0
2010, Fruit and others: Cases of preservation substances,2305.0,23.8
2010, Fruit ao: Fallen from Extraction with Solvents,6.0,1.0
2010, Fruit and others: For food/vegetable. eaten stuff,346.0,321.0
