year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers
2006, EAV-01," Wastes resulting from exploration, mining of minerals",26.0,140.6,139.5
2006, EAV-010304-G, Acid-generating tailings from proc.of sulphide ore,0.0,0.0,0.0
2006, EAV-010305-G, Other tailings containing hazardous substances,0.0,0.0,0.0
2006, EAV-010307-G," Wastes from phys.,chem. proc. of metal. minerals",0.0,0.0,0.0
2006, EAV-010407-G," Wastes from phys.,chem. proc. of non-met. minerals",3.0,0.4,0.4
2006, EAV-010505-G, Oil-containing drilling muds and wastes,20.0,139.9,138.9
2006, EAV-010506-G," Drilling muds, wastes cont. hazardous substances",0.0,0.0,0.0
2006, EAV-02," Wastes from agriculture, horticulture, forestry etc.",77.0,2.1,1.7
2006, EAV-020108-G, Agrochemical waste containing hazardous substances,77.0,2.1,1.7
2006, EAV-03,Wastes from wood processing etc.,31.0,0.6,0.6
2006, EAV-030104-G," Sawdust, shavings, cuttings, wood, particle board",7.0,0.4,0.4
2006, EAV-030201-G, Non-halogenated organic wood preservatives,5.0,0.1,0.0
2006, EAV-030202-G, Organochlorinated wood preservatives,9.0,0.1,0.1
2006, EAV-030203-G, Organometallic wood preservatives,0.0,0.0,0.0
2006, EAV-030204-G, Inorganic wood preservatives,4.0,0.0,0.0
2006, EAV-030205-G, Other wood preservatives cont. hazardous subst.,6.0,0.1,0.1
2006, EAV-04," Wastes from the leather, fur, textile industries",18.0,0.3,0.3
2006, EAV-040103-G, Degreasing wastes cont. solve. without liquid phase,0.0,0.0,0.0
2006, EAV-040214-G, Wastes from finishing containing organic solvents,6.0,0.2,0.2
2006, EAV-040216-G, Dyestuffs and pigments cont. hazardous substances,4.0,0.0,0.0
2006, EAV-040219-G, Textile ind.: Sludges from on-site effl. treatm.,7.0,0.1,0.1
2006, EAV-05," Wastes from petrol. refining, natural gas purification.",193.0,158.8,157.2
2006, EAV-050102-G, Petroleum refining: Desalter sludges,0.0,0.0,0.0
2006, EAV-050103-G, Petroleum refining: Tank bottom sludges,61.0,16.7,15.8
2006,EAV-050104-G, Petroleum refining: Acid alkyl sludges,0.0,0.0,0.0
2006, EAV-050105-G, Petroleum refining: Oil spills,0.0,0.0,0.0
2006, EAV-050106-G, Petroleum ref.: Oily sludges from maint. operat.,62.0,12.1,11.7
2006, EAV-050107-G, Petroleum refining: Acid tars,0.0,0.0,0.0
2006, EAV-050108-G, Petroleum refining: Other tars,7.0,0.3,0.3
2006, EAV-050109-G, Petroleum ref.: Sludges from on-site effl. treatm.,8.0,14.3,14.3
2006, EAV-050111-G, Petrol.ref.:Wastes from clean. of fuels with bases,0.0,0.0,0.0
2006, EAV-050112-G, Petroleum refining: Oil containing acids,0.0,0.0,0.0
2006, EAV-050115-G, Petroleum refining: Spent filter clays,17.0,2.1,2.0
2006, EAV-050601-G, Pyrolytic treatment of coal: Acid tars,0.0,0.0,0.0
