GENESIS-Tabelle: 32111-0002
Abfallentsorgung: Deutschland, Jahre, Abfallarten;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;
Deutschland;;;;;;;
;;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall
;;;Anzahl;1000 t;1000 t;1000 t;1000 t
2017;EAV-010101-U;Abfälle aus Abbau v. metallhaltigen Bodenschätzen;-;-;-;-;-
2017;EAV-010102-U;Abfälle aus Abbau v. nichtmetallh. Bodenschätzen;15;26619,5;26619,5;0,0;-
2017;EAV-010304-G;Säure bildende Aufbereitungsrückstände a. sul. Erz;-;-;-;-;-
2017;EAV-010305-G;Andere Aufbereitungsrückstände mit gefährl.Stoffen;-;-;-;-;-
2017;EAV-010306-U;Aufbereitungsrückstände (ohne 010304 und 010305);10;6,3;3,6;2,7;-
2017;EAV-010307-G;Abfälle aus Verarb. metallhaltiger Bodenschätze;-;-;-;-;-
2017;EAV-010308-U;Staubende und pulvrige Abfälle (ohne 010307);-;-;-;-;-
2017;EAV-010309-U;Rotschlamm aus Aluminiumoxidherstellung(oh.010310);-;-;-;-;-
2017;EAV-010310-G;Rotschlamm mit gefährlichen Stoffen (ohne 010307);-;-;-;-;-
2017;EAV-010399-U;Verarb. von metallh. Bodenschätzen: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-010407-G;Abfälle a.Weiterverarb. nichtmetallh. Bodenschätze;8;23,9;0,0;23,2;0,7
2017;EAV-010408-U;Abfälle von Kies- und Gesteinsbruch (ohne 010407);26;897,6;835,2;62,3;-
2017;EAV-010409-U;Abfälle von Sand und Ton;19;39,7;25,6;14,1;-
2017;EAV-010410-U;Staubende und pulvrige Abfälle (ohne 010407);24;5,9;1,7;4,3;-
2017;EAV-010411-U;Abfälle aus Verarb. v.Kali-u.Steinsalz (oh.010407);11;1357,2;1321,0;36,2;-
2017;EAV-010412-U;Aufbereitungsrück. u.a. Abfälle (oh.010407,010411);6;31,9;31,3;0,6;-
2017;EAV-010413-U;Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);35;46,2;36,6;9,6;-
2017;EAV-010499-U;Verarb. v. nichtmetallh. Bodensch.: Abfälle a.n.g.;4;0,2;0,0;0,2;-
2017;EAV-010504-U;Schlämme und Abfälle aus Süßwasserbohrungen;27;6,7;0,1;6,6;-
2017;EAV-010505-G;Ölhaltige Bohrschlämme und -abfälle;14;76,7;-;76,7;-
2017;EAV-010506-G;Bohrschlämme u.a. Bohrabfälle mit gefährl. Stoffen;5;1,2;0,0;1,2;-
2017;EAV-010507-U;Barythaltige Bohrschlä.,-abfälle(oh.010505,010506);-;-;-;-;-
2017;EAV-010508-U;Chloridhalt. Bohrschlä.,-abfälle(oh.010505,010506);16;30,5;-;30,5;-
2017;EAV-010599-U;Bohrschlämme u. andere Bohrabfälle: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-020101-U;Landwirtsch.u.a.:Schlämme v.Wasch-,Reinigungsvorg.;6;12,1;-;12,1;-
2017;EAV-020102-U;Landwirtsch.u.a.: Abfälle aus tierischem Gewebe;8;59,3;-;59,3;-
2017;EAV-020103-U;Landwirtsch.u.a.: Abfälle aus pflanzlichem Gewebe;247;516,2;56,2;457,8;2,3
2017;EAV-020104-U;Landwirtsch.u.a.:Kunststoffabfälle (ohne Verpack.);67;36,4;-;32,3;4,1
2017;EAV-020106-U;Tierische Ausscheidungen, Gülle/Jauche/Stallmist;224;959,1;321,9;628,0;9,2
2017;EAV-020107-U;Abfälle aus der Forstwirtschaft;78;475,7;68,6;405,9;1,2
2017;EAV-020108-G;Abfälle von Chemikalien für die Landwirtschaft;17;1,2;0,0;0,9;0,3
2017;EAV-020109-U;Abfälle v. Chemik. f. d. Landwirtschaft(oh.020108);7;0,4;0,1;0,3;0,0
2017;EAV-020110-U;Landwirtschaft u.a.: Metallabfälle;11;3,5;-;3,5;-
2017;EAV-020199-U;Landwirtschaft u.a.: Abfälle a.n.g.;7;4,4;-;4,4;-
2017;EAV-020201-U;Fleisch u.a.:Schlämme v.Wasch-,Reinigungsvorgängen;12;22,5;18,9;3,6;-
2017;EAV-020202-U;Fleisch u.a.: Abfälle aus tierischem Gewebe;24;189,3;-;174,2;15,1
2017;EAV-020203-U;Fleisch u.a.: Für Verzehr/Verarb. ungeeig.Stoffe;123;575,9;50,7;470,1;55,0
2017;EAV-020204-U;Fleisch u.a.: Schlämme(betriebseig.Abwasserbeh.);185;917,1;14,9;883,3;18,9
2017;EAV-020299-U;Verarb. von Fleisch, Fisch u.a.: Abfälle a.n.g.;28;75,1;0,0;75,1;-
2017;EAV-020301-U;Obst u.a.:Schlämme aus Wasch-,Reinigungsproz. u.a.;39;213,6;179,0;34,6;-
2017;EAV-020302-U;Obst u.a.: Abfälle von Konservierungsstoffen;-;-;-;-;-
2017;EAV-020303-U;Obst u.a.: Abfälle aus Extraktion mit Lösemitteln;-;-;-;-;-
2017;EAV-020304-U;Obst u.a.: Für Verzehr/Verarb. ungeeignete Stoffe;248;629,4;84,5;457,3;87,6
2017;EAV-020305-U;Obst u.a.: Schlämme (betriebseig. Abwasserbeh.);31;27,2;0,1;27,0;0,1
2017;EAV-020399-U;Verarbeitung von Obst, Gemüse u.a.: Abfälle a.n.g.;29;98,7;52,8;36,0;9,9
2017;EAV-020401-U;Zuckerherstellung: Rübenerde;-;-;-;-;-
2017;EAV-020402-U;Zuckerherst.: Nicht spezif. Calciumcarbonatschlamm;-;-;-;-;-
2017;EAV-020403-U;Zuckerherst.: Schlämme (betriebseig.Abwasserbeh.);-;-;-;-;-
2017;EAV-020499-U;Zuckerherstellung: Abfälle a.n.g.;6;106,2;103,5;2,7;-
2017;EAV-020501-U;Milchverarbeitung: Für Verzehr/Verarb. ungeeig.St.;51;74,3;1,4;70,1;2,8
2017;EAV-020502-U;Milchverarb.: Schlämme (betriebseig. Abwasserbeh.);40;86,9;-;86,8;0,0
2017;EAV-020599-U;Milchverarbeitung: Abfälle a.n.g.;7;8,9;-;8,9;-
2017;EAV-020601-U;Back-,Süßwaren: Für Verzehr/Verarb. ungeeig. St.;76;314,2;0,2;274,7;39,3
2017;EAV-020602-U;Back-,Süßwaren: Abfälle von Konservierungsstoffen;-;-;-;-;-
2017;EAV-020603-U;Back-,Süßwaren: Schlämme(betriebseig.Abwasserbeh.);6;5,7;-;5,7;-
2017;EAV-020699-U;Herstellung von Back- und Süßwaren: Abfälle a.n.g.;-;-;-;-;-
2017;EAV-020701-U;Getränke: Abfälle aus der Wäsche, Reinigung u.a.;8;2,1;-;2,1;0,0
2017;EAV-020702-U;Getränke: Abfälle aus der Alkoholdestillation;27;307,1;292,0;15,2;-
2017;EAV-020703-U;Getränke: Abfälle aus der chemischen Behandlung;-;-;-;-;-
2017;EAV-020704-U;Getränke: Für Verzehr/Verarb. ungeeignete Stoffe;63;53,8;0,0;53,8;-
2017;EAV-020705-U;Getränke: Schlämme (betriebseigene Abwasserbeh.);11;6,9;1,0;6,0;-
2017;EAV-020799-U;Herstellung von Getränken: Abfälle a.n.g.;15;3,5;-;3,5;-
2017;EAV-030101-U;Holzbearbeitung u.a.: Rinden- und Korkabfälle;26;476,9;280,9;196,1;-
2017;EAV-030104-G;Sägemehl, Späne, Abschnitte, Holz, Spanplatten;6;7,3;0,6;0,1;6,6
2017;EAV-030105-U;Sägemehl,Späne,Abschnitte,Holz,Spanpl. (oh.030104);473;2171,5;1167,0;877,4;127,1
2017;EAV-030199-U;Holzbearbeitung u.a.: Abfälle a.n.g.;3;55,5;55,4;0,0;-
2017;EAV-030201-G;Halogenfreie organische Holzschutzmittel;-;-;-;-;-
2017;EAV-030202-G;Chlororganische Holzschutzmittel;-;-;-;-;-
