GENESIS table: 32141-0004
Rubble processing plants, asphalt mixing plants:;;;;;;;;
States, Years;;;;;;;;
Processing, utilization of Construction and demolition waste;;;;;;;;
;;Rubbish processing plants;Input of rubble processing plants;Capacity of rubble processing plants;Rubbish processing plants with output;Output of rubble processing plants;Asphalt mixing plants;Input of asphalt mixing plants
;;number;1000 t;1000 t;number;1000 t;number;1000 t
2006; Baden-Württemberg; 239; 6711.3; 9028.2; x; 6808.6; 60; 1234.6
2006;Bavaria;589;8146.7;13356.4;x;8123.5;133;2668.8
2006;Berlin;24;2268.5;3013.9;x;2390.2;5;89.8
2006;Brandenburg;120;5167.6;11382.7;x;5731.2;39;447.9
2006; Bremen; 4; 148.4; 216.7; x; 147.7; 3; 98.1
2006; Hamburg; 9; 643.9; 820.0; x; 643.5; 4; 97.0
2006; Hesse; 88; 3201.9; 5814.3; x; 2995.0; 34; 510.6
2006;Mecklenburg-Western Pomerania;88;2285.3;5083.4;x;2189.7;21;240.1
2006;Lower Saxony;176;6610.2;8157.6;x;6606.5;41;779.0
2006;North Rhine-Westphalia;148;10006.0;17370.1;x;9913.8;49;1521.9
2006;Rhineland-Palatinate;135;3820.6;6083.7;x;3692.5;32;311.6
2006; Saarland; 35; 625.4; 682.5; x; 593.3; 3; 105.8
2006;Saxony;119;3732.5;6902.6;x;3676.7;49;701.8
2006;Saxony-Anhalt;94;2606.0;3905.2;x;2568.1;28;245.8
2006; Schleswig-Holstein; 111; 2413.4; 2989.4; x; 2401.5; 19; 311.0
2006;Thuringia;57;2000.7;3110.5;x;1842.2;29;423.6
2006;Total;2036;60388.3;97917.1;x;60324.0;549;9787.6
2008;Baden-Wuerttemberg;219;8288.3;10758.9;x;8182.3;63;1652.2
2008;Bavaria;587;8547.7;12605.3;x;8505.4;126;2744.6
2008;Berlin;16;1750.7;1936.2;x;1725.3;4;55.0
2008;Brandenburg;128;4715.8;10434.9;x;4748.7;40;373.7
2008;Bremen;3;187.4;184.3;x;245.6;2;.
2008; Hamburg; 7; 586.4; 863.0; x; 586.0; 4; 158.6
2008; Hesse; 95; 3494.6; 5565.8; x; 3451.3; 35; 598.6
2008;Mecklenburg-Western Pomerania;71;2346.5;4059.1;x;2337.5;21;215.2
2008;Lower Saxony;183;6199.6;8415.3;x;6198.4;43;774.4
2008;North Rhine-Westphalia;213;12323.4;18364.6;x;12201.0;58;1991.0
2008;Rhineland-Palatinate;122;3984.7;5710.7;x;3986.4;30;381.1
2008;Saarland;25;599.3;893.9;x;576.4;3;.
2008;Saxony;119;3625.5;6395.2;x;3557.2;47;546.4
2008;Saxony-Anhalt;89;3782.2;4807.5;x;3782.2;26;278.8
2008; Schleswig-Holstein; 119; 2144.1; 3826.6; x; 2141.9; 17; 218.1
2008;Thuringia;59;1453.1;2591.1;x;1162.9;33;449.6
2008;Total;2055;64029.2;97412.3;x;63388.5;552;10571.5
2010; Baden-Württemberg; 214; 7957.0; 11574.4; x; 7950.4; 66; 1236.3
2010;Bavaria;632;9363.1;14254.5;x;9355.7;128;2725.2
2010;Berlin;15;1116.7;1507.6;x;1074.4;4;78.7
2010;Brandenburg;128;4466.1;11502.0;x;4223.8;33;353.7
2010; Bremen; 3; 115.7; 156.0; x; 144.6; 2;.
2010; Hamburg; 8; 407.4; 671.0; x; 402.2; 5; 203.0
2010; Hesse; 90; 3510.1; 5750.6; x; 3577.2; 37; 829.6
2010;Mecklenburg-Western Pomerania;129;1951.9;4557.8;x;1864.4;21;251.6
2010;Lower Saxony;185;6943.5;9490.0;x;6925.4;43;792.1
2010;North Rhine-Westphalia;176;12389.2;22460.1;x;10985.8;63;1630.3
2010;Rhineland-Palatinate;108;3657.3;5673.9;x;3641.4;30;549.7
2010;Saarland;27;665.5;1286.5;x;642.7;3;86.6
2010;Saxony;108;3091.7;5717.3;x;3077.1;42;539.1
2010;Saxony-Anhalt;71;2367.2;4491.0;x;2352.4;25;.
2010; Schleswig-Holstein; 111; 2260.9; 3830.9; x; 2212.8; 15; 263.4
2010;Thuringia;68;2264.8;3767.1;x;2008.4;35;565.4
2010;Total;2073;62528.2;106690.7;x;60438.6;552;10450.0
2012;Baden-Württemberg;.;.;.;.;.;.;.
2012;Bavaria;.;.;.;.;.;.;.
2012;Berlin;.;.;.;.;.;.;.
2012;Brandenburg;.;.;.;.;.;.;.
2012;Bremen;.;.;.;.;.;.;.
2012;Hamburg;.;.;.;.;.;.;.
2012;Hesse;.;.;.;.;.;.;.
2012;Mecklenburg-Western Pomerania;.;.;.;.;.;.;.
2012;Lower Saxony;.;.;.;.;.;.;.
2012;North Rhine-Westphalia;.;.;.;.;.;.;.
2012;Rhineland-Palatinate;.;.;.;.;.;.;.
2012;Saarland;.;.;.;.;.;.;.
2012;Saxony;.;.;.;.;.;.;.
2012;Saxony-Anhalt;.;.;.;.;.;.;.
2012;Schleswig-Holstein;.;.;.;.;.;.;.
2012;Thuringia;.;.;.;.;.;.;.
2012;Total;2172;63633.4;107414.1;x;62459.6;535;12064.9
2014;Baden-Württemberg;.;.;.;.;.;66;2115.7
2014;Bavaria;.;.;.;.;.;128;3656.2
2014;Berlin;.;.;.;.;.;3;48.8
2014;Brandenburg;.;.;.;.;.;22;235.2
2014; Bremen;.;.;.;.;.;4;134.8
2014;Hamburg;.;.;.;.;.;4;183.2
2014;Hesse;.;.;.;.;.;35;1026.0
2014;Mecklenburg-Western Pomerania;.;.;.;.;.;17;277.6
2014;Lower Saxony;.;.;.;.;.;48;1321.8
2014;North Rhine-Westphalia;.;.;.;.;.;68;1786.8
2014;Rhineland-Palatinate;.;.;.;.;.;30;732.5
2014;Saarland;.;.;.;.;.;3;114.8
2014;Saxony;.;.;.;.;.;37;662.9
2014;Saxony-Anhalt;.;.;.;.;.;24;463.5
2014; Schleswig-Holstein;.;.;.;.;.;17;412.5
2014;Thuringia;.;.;.;.;.;29;515.3
2014;Total;2579;65752.7;115966.8;x;63936.4;535;13687.8
2016;Baden-Wuerttemberg;240;10040.3;x;x;10063.5;65;2177.9
2016;Bavaria;878;11168.4;x;x;10892.9;125;3921.8
2016;Berlin;32;1257.9;x;x;2012.2;3;70.5
2016;Brandenburg;130;3666.1;x;x;3833.0;27;356.9
2016; Bremen; 7; 244.0; x; x; 259.5; 4; 100.7
2016;Hamburg;20;659.5;x;x;624.8;5;274.1
2016; Hesse; 152; 4387.3; x; x; 4133.8; 34; 1216.4
2016;Mecklenburg-Western Pomerania;51;1057.5;x;x;1068.3;11;191.0
2016;Lower Saxony;319;8995.0;x;x;9001.8;49;1518.8
2016;North Rhine-Westphalia;365;13666.4;x;x;12987.1;68;1960.6
2016;Rhineland-Palatinate;137;3167.8;x;x;3151.9;32;829.6
2016;Saarland;64;785.6;x;x;690.2;5;194.0
2016;Saxony;138;3306.7;x;x;3255.6;40;745.7
2016;Saxony-Anhalt;93;2898.4;x;x;2863.9;18;388.4
2016; Schleswig-Holstein; 176; 3232.1; x; x; 2900.6; 13; 424.0
2016;Thuringia;68;1421.4;x;x;1400.6;28;412.3
2016;Total;2870;69954.2;110133.1;x;69139.8;527;14782.8
2018;Baden-Wuerttemberg;254;9982.3;x;x;9918.8;61;2485.2
2018;Bavaria;640;10011.5;x;x;9990.8;122;4288.6
2018;Berlin;51;1858.0;x;x;1992.6;3;69.0
2018;Brandenburg;132;4265.7;x;x;4164.8;24;492.7
2018; Bremen; 5; 258.7; x; x; 292.8; 3; 97.5
2018;Hamburg;19;946.7;x;x;777.4;3;184.7
2018; Hesse; 135; 4014.4; x; x; 3827.8; 34; 926.2
2018;Mecklenburg-Western Pomerania;58;1192.1;x;x;1191.4;10;214.8
2018;Lower Saxony;289;8791.1;x;x;8758.8;46;1477.8
2018;North Rhine-Westphalia;301;15334.9;x;x;13936.9;58;1802.1
2018;Rhineland-Palatinate;122;3249.8;x;x;3149.1;30;845.7
2018;Saarland;65;750.7;x;x;670.0;5;218.5
2018;Saxony;174;3888.5;x;x;3844.3;41;886.8
2018;Saxony-Anhalt;97;2495.7;x;x;2456.4;21;466.7
2018; Schleswig-Holstein; 143; 3115.4; x; x; 2953.9; 13; 439.6
2018;Thuringia;72;1081.6;x;x;1039.4;19;424.7
2018;Total;2557;71237.2;106788.0;x;68965.1;493;15320.5
2020;Baden-Wuerttemberg;302;11126.0;x;x;11118.1;63;2560.5
2020;Bavaria;595;9299.2;x;x;9138.3;118;3903.3
2020;Berlin;45;4446.3;x;x;4401.0;3;87.6
2020;Brandenburg;136;4137.7;x;x;4262.5;23;434.9
2020;Bremen;12;299.6;x;x;365.3;3;135.6
2020;Hamburg;19;934.6;x;x;835.3;3;175.0
2020;Hessen;131;3801.3;x;x;3707.2;27;732.3
2020;Mecklenburg-Western Pomerania;56;1118.7;x;x;1120.0;10;267.4
2020;Lower Saxony;318;9451.9;x;x;9473.2;46;1383.5
2020;North Rhine-Westphalia;312;16077.1;x;x;14799.2;55;1984.5
2020;Rhineland-Palatinate;129;2758.2;x;x;2902.9;29;680.0
2020;Saarland;59;907.8;x;x;839.2;5;201.7
2020;Saxony;207;4759.4;x;x;4726.0;36;562.5
2020;Saxony-Anhalt;94;2583.2;x;x;2558.5;22;415.3
2020; Schleswig-Holstein; 151; 2548.7; x; x; 2532.4; 10; 317.9
2020;Thuringia;74;1004.2;x;x;1007.3;16;273.4
2020;Total;2640;75253.9;111403.0;x;73786.3;469;14115.4
__________
© Federal Statistical Office (Destatis), 2023
Status: 08/26/2023 / 16:59:41
