,year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers
0,2006, EAV-01," Wastes resulting from exploration, mining of minerals",26.0,140.6,139.5
1,2006, EAV-010304-G, Acid-generating tailings from proc.of sulphide ore,0.0,0.0,0.0
2,2006, EAV-010305-G, Other tailings containing hazardous substances,0.0,0.0,0.0
3,2006, EAV-010307-G," Wastes from phys.,chem. proc. of metal. minerals",0.0,0.0,0.0
4,2006, EAV-010407-G," Wastes from phys.,chem. proc. of non-met. minerals",3.0,0.4,0.4
5,2006, EAV-010505-G, Oil-containing drilling muds and wastes,20.0,139.9,138.9
6,2006, EAV-010506-G," Drilling muds, wastes cont. hazardous substances",0.0,0.0,0.0
7,2006, EAV-02," Wastes from agriculture, horticulture, forestry etc.",77.0,2.1,1.7
8,2006, EAV-020108-G, Agrochemical waste containing hazardous substances,77.0,2.1,1.7
9,2006, EAV-03,Wastes from wood processing etc.,31.0,0.6,0.6
10,2006, EAV-030104-G," Sawdust, shavings, cuttings, wood, particle board",7.0,0.4,0.4
11,2006, EAV-030201-G, Non-halogenated organic wood preservatives,5.0,0.1,0.0
12,2006, EAV-030202-G, Organochlorinated wood preservatives,9.0,0.1,0.1
13,2006, EAV-030203-G, Organometallic wood preservatives,0.0,0.0,0.0
14,2006, EAV-030204-G, Inorganic wood preservatives,4.0,0.0,0.0
15,2006, EAV-030205-G, Other wood preservatives cont. hazardous subst.,6.0,0.1,0.1
16,2006, EAV-04," Wastes from the leather, fur, textile industries",18.0,0.3,0.3
17,2006, EAV-040103-G, Degreasing wastes cont. solve. without liquid phase,0.0,0.0,0.0
18,2006, EAV-040214-G, Wastes from finishing containing organic solvents,6.0,0.2,0.2
19,2006, EAV-040216-G, Dyestuffs and pigments cont. hazardous substances,4.0,0.0,0.0
20,2006, EAV-040219-G, Textile ind.: Sludges from on-site effl. treatm.,7.0,0.1,0.1
21,2006, EAV-05," Wastes from petrol. refining, natural gas purification.",193.0,158.8,157.2
