Year,WZ2008(2-digit),Waste generation,,Waste types,establishments,Amount of waste generated
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-01,Waste from the extraction of mineral resources,-,-
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-02,"Waste from agriculture, forestry, etc",24,16.4
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-07,Waste from organic chemical processes,3,0
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-13,waste oil and liquid fuel waste,18,0.2
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-14,"Waste from organic solvents, coolants",5,0
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-15,"Packaging waste, absorbent masses, wipes",43,13.4
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-16,Waste not included elsewhere in the inventory,16,0.3
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-17,construction and demolition waste,21,1.3
2010,WZ08-01-03,"Agriculture and forestry, fisheries",EAV-20,Municipal waste (household waste and similar waste),52,8
2010,,"Agriculture and forestry, fisheries",,In total,55,39.6
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-01,Waste from the extraction of mineral resources,11,152.7
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-02,"Waste from agriculture, forestry, etc",13,0.2
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-05,"Waste from petroleum refining, natural gas purification",5,2.7
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-06,Waste from inorganic chemical processes,18,4.6
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-07,Waste from organic chemical processes,19,0.9
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-08,"Waste from MFSU from coatings, adhesives, etc",20,1.8
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-09,waste from the photographic industry,9,0
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-10,Waste from thermal processes,5,190.4
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-11,Waste from chemical surface treatment,7,0.4
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-12,Waste from mechanical shaping processes,24,5.2
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-13,waste oil and liquid fuel waste,49,8.4
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-14,"Waste from organic solvents, coolants",22,0
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-15,"Packaging waste, absorbent masses, wipes",60,118
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-16,Waste not included elsewhere in the inventory,48,17.9
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-17,construction and demolition waste,46,822.4
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-19,"Waste from waste treatment plants, etc",19,186.3
2010,WZ08-05-02,Mining and quarrying of stone and earth,EAV-20,Municipal waste (household waste and similar waste),63,57.8
2010,,,,In total,64,1569.7
2010,WZ08-10-01,food industry and tobacco processing,EAV-02,"Waste from agriculture, forestry, etc",1031,5536.7
2010,WZ08-10-01,food industry and tobacco processing,EAV-03,"Waste from wood processing, etc",13,0.4
2010,WZ08-10-01,food industry and tobacco processing,EAV-04,"Waste from the leather, fur and textile industries",3,0.5
2010,WZ08-10-01,food industry and tobacco processing,EAV-05,"Waste from petroleum refining, natural gas purification",15,0
2010,WZ08-10-01,food industry and tobacco processing,EAV-06,Waste from inorganic chemical processes,74,4.8
2010,WZ08-10-01,food industry and tobacco processing,EAV-07,Waste from organic chemical processes,121,17.2
2010,WZ08-10-01,food industry and tobacco processing,EAV-08,"Waste from MFSU from coatings, adhesives, etc",134,0.1
2010,WZ08-10-01,food industry and tobacco processing,EAV-09,waste from the photographic industry,5,0
2010,WZ08-10-01,food industry and tobacco processing,EAV-10,Waste from thermal processes,46,42.7
2010,WZ08-10-01,food industry and tobacco processing,EAV-11,Waste from chemical surface treatment,13,0
2010,WZ08-10-01,food industry and tobacco processing,EAV-12,Waste from mechanical shaping processes,91,2.4
2010,WZ08-10-01,food industry and tobacco processing,EAV-13,waste oil and liquid fuel waste,519,6.9
2010,WZ08-10-01,food industry and tobacco processing,EAV-15,"Waste from organic solvents, coolants",141,0.2
