"Waste disposal: Germany, years, type of facility, types of waste",,,,,,,,,,,,
Elevation of waste disposal,,,,,,,,,,,,
Germany,,,,,,,,,,,,
Year Plant Type Fallout Types,,waste disposal facilities,Input from waste disposal plants,Waste generated in my own business,Waste brought in from within the country,Angel after fall from abroad,Waste disposal plants with output,Output of waste disposal systems,If for separation,Errors for evaluation,Examples of preparation procedures,Absence of others
,,Number,1000t,1000t,1000t,1000t,Number,1000t,1000t,1000t,1000t,1000t
2006,,,,,,,,,,,,
landfills,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,70,1026.7,845.7,181,0,3,19.2,19.2,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",12,0.8,0,0.7,0.1,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,9,0.9,0.3,0.5,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",7,3,0,3,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",10,9.9,0,9.9,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,72,363.8,128.5,234.3,1.1,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,28,15.3,3.5,11.1,0.6,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",33,11.1,0.2,10.9,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,260,8312.5,6621.3,1646.6,44.6,3,113.7,10.5,1.2,0,102
EAV-11,Fall from the chemical surface treatment,39,108.4,62.7,44.4,1.4,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,151,142.2,50.2,91.5,0.5,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,13,17.2,0.3,16.9,0,5,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",48,18.1,0.3,17.8,0,4,2.3,0,2.1,0,0.2
EAV-16,Cases not otherwise listed in the directory,140,295.6,189,102.9,3.7,6,1.4,0.5,0.8,0,0.1
EAV-17,construction and demolition waste,1498,22162.3,1483.7,20509.1,169.5,21,38.3,4.1,12.6,0,21.6
EAV-20,Municipal waste (household waste and similar waste),173,302.3,4.6,295.5,2.1,18,54.5,12.4,39.6,0,2.5
EAV-99,dangerous accidents,291,4413.4,476.5,3591.3,345.5,64,1102.6,772.4,244.3,0,85.9
Thermal waste treatment plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,4,0.1,0,0.1,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",59,129.3,0,112.1,17.2,3,0,0,0,0,0
EAV-03,Waste from woodworking etc,35,50.5,16.7,24.1,9.8,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",41,7.4,2.2,5.2,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",20,27.8,11.2,15.9,0.8,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,27,11.3,5.4,5.5,0.3,7,15.3,0.1,14.2,0,1.1
EAV-07,Fallen from organic chemical processes,89,919.7,500,318.7,101,5,0.3,0.1,0.2,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",73,55.1,5.9,45.1,4.2,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,26,7.1,0,6.6,0.5,0,0,0,0,0,0
EAV-10,Drops from thermal processes,17,27.6,0.5,26.2,0.9,18,64.7,27.1,37.1,0,0.5
EAV-11,Fall from the chemical surface treatment,14,12.2,1.5,10.5,0.2,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,49,17.7,4,13.6,0.2,8,1.2,0.3,0.9,0,0
EAV-13,Lakes and ravines from liquid fuels,29,30.7,3.2,22.1,5.4,6,1.8,1.8,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",25,53.6,0.8,42.9,9.9,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",93,486.6,15.7,456,14.9,11,0.3,0.1,0.2,0,0
EAV-16,Cases not otherwise listed in the directory,62,81.1,10.2,57.1,13.8,21,2.2,1.8,0.3,0,0
EAV-17,construction and demolition waste,81,203.4,7.7,194.7,1,21,6.9,3.9,2.5,0,0.5
EAV-18,Fall from the medical care,75,197,1.3,194.2,1.5,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",113,6227.2,1655.6,4426.3,145.4,130,5905.8,548,5227.4,0,130.4
EAV-20,Municipal waste (household waste and similar waste),85,13755.1,17.7,13694.9,42.5,8,0.9,0.1,0.8,0,0
EAV-99,dangerous accidents,96,1782.2,684.7,845.9,251.6,120,1225.4,381,838.1,0,6.3
combustion plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",57,524.2,43.3,440.2,40.7,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,457,3774.7,2444.4,1282.8,47.5,5,0.3,0.2,0.1,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",6,15.5,0,15.5,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",3,0.8,0,0.7,0.1,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,8,130.5,1.9,114.7,14,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,24,284,221.8,47.7,14.5,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",5,13.7,0.8,12.9,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,16,856.3,223.1,579.8,53.3,385,922.8,105.1,457.3,0,360.4
