GENESIS table: 32161-0002
Companies, amount of waste generated: Germany, years,;;;;;;
Economic sectors, types of waste;;;;;;
Waste generation survey;;;;;;
Germany;;;;;;
;;;;;Operations;Amount of waste generated
;;;;;Number;1000 t
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-01;Waste from the extraction of mineral resources;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-02;Waste from agriculture, forestry, etc.;24;16.4
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-03;Waste from wood processing, etc.;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-04;Waste from the leather, fur and textile industry;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-05;Waste from petroleum refining, natural gas purification;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-06;Waste from inorganic chemical processes;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-07;Waste from organic chemical processes;3;0.0
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-09;Waste from the photographic industry;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-10;Waste from thermal processes;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-11;Waste from chemical surface treatment;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-12;Waste from mechanical shaping processes;-;-
2010;WZ08-01-03;Agriculture, forestry, fisheries;EAV-13;Oil waste and liquid fuel waste;18;0.2
2010;WZ08-01-03;Agriculture, forestry, fisheries;EAV-14;Wastes from organic solvents, coolants;5;0.0
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-15;Packaging waste, absorbent masses, wipes;43;13.4
2010;WZ08-01-03;Agriculture, forestry, fisheries;EAV-16;Wastes not included elsewhere in the inventory;16;0.3
2010;WZ08-01-03;Agriculture, forestry, fisheries;EAV-17;Construction and demolition waste;21;1,3
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-18;Waste from medical care;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-19;Waste from waste treatment plants etc.;-;-
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-20;Municipal waste (household waste and similar waste);52;8.0
2010;WZ08-01-03;Agriculture and forestry, fishing;EAV-99;Hazardous waste;-;-
2010;WZ08-01-03;Agriculture, forestry, fisheries;;Total;55;39.6
2010;WZ08-05-02;Mining and quarrying;EAV-01;Wastes from mineral quarrying;11;152.7
2010;WZ08-05-02;Mining and quarrying;EAV-02;Waste from agriculture, forestry, etc.;13;0.2
2010;WZ08-05-02;Mining and quarrying of stone and earth;EAV-03;Waste from wood processing, etc.;-;-
2010;WZ08-05-02;Mining and quarrying;EAV-04;Waste from the leather, fur and textile industry;-;-
2010;WZ08-05-02;Mining and quarrying;EAV-05;Wastes from petroleum refining, natural gas purification;5;2,7
2010;WZ08-05-02;Mining and quarrying;EAV-06;Waste from inorganic chemical processes;18;4,6
2010;WZ08-05-02;Mining and quarrying;EAV-07;Waste from organic chemical processes;19;0.9
2010;WZ08-05-02;Mining and quarrying;EAV-08;Waste from MFSU from coatings, adhesives, etc.;20;1.8
2010;WZ08-05-02;Mining and extraction of stones and earth;EAV-09;Waste from the photographic industry;9;0,0
2010;WZ08-05-02;Mining and quarrying;EAV-10;Waste from thermal processes;5;190.4
2010;WZ08-05-02;Mining and quarrying;EAV-11;Waste from chemical surface treatment;7;0.4
2010;WZ08-05-02;Mining and quarrying;EAV-12;Waste from mechanical shaping processes;24;5,2
2010;WZ08-05-02;Mining and quarrying;EAV-13;Oil waste and liquid fuel waste;49;8,4
2010;WZ08-05-02;Mining and quarrying;EAV-14;Wastes from organic solvents, coolants;22;0.0
