Waste Producers,Waste Quantities,Years,Waste Types - EAV 2- and 6-Digit Codes,Survey of Hazardous Waste,Count,,,,,,,,,,,,,,,,,
2006,EAV-01,Abfälle aus der Gewinnung von Bodenschätzen,26,140,,6,139,,5,,,,,,,,,,,,,
2006,EAV-010304-G, Säure bildende Aufbereitungsrückstände a. sul. Erz,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-010305-G, Andere Aufbereitungsrückstände mit gefährl.Stoffen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-010307-G, Abfälle aus Verarb. metallhaltiger Bodenschätze,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-010407-G, Abfälle a.Weiterverarb. nichtmetallh. Bodenschätze,3,0,,4,0,,4,,,,,,,,,,,,,
2006,EAV-010505-G, Ölhaltige Bohrschlämme und -abfälle,20,139,,9,138,,9,,,,,,,,,,,,,
2006,EAV-010506-G, Bohrschlämme u.a. Bohrabfälle mit gefährl. Stoffen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-02,Abfälle aus Landwirtschaft,,,,Forstwirtschaft u.a.,77,2,1,1,7,,,,,,,,,,,
2006,EAV-020108-G, Abfälle von Chemikalien für die Landwirtschaft,77,2,,1,1,,7,,,,,,,,,,,,,
2006,EAV-03,Abfälle aus der Holzbearbeitung u.a.,31,0,,6,0,,6,,,,,,,,,,,,,
2006,EAV-030104-G, Sägemehl,,,,Späne,,,Abschnitte,,Holz,Spanplatten,7,0,4,0,4,,,,,
2006,EAV-030201-G, Halogenfreie organische Holzschutzmittel,5,0,,1,0,,0,,,,,,,,,,,,,
2006,EAV-030202-G, Chlororganische Holzschutzmittel,9,0,,1,0,,1,,,,,,,,,,,,,
2006,EAV-030203-G, Metallorganische Holzschutzmittel,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-030204-G, Anorganische Holzschutzmittel,4,0,,0,0,,0,,,,,,,,,,,,,
2006,EAV-030205-G, Andere Holzschutzmittel mit gefährlichen Stoffen,6,0,,1,0,,1,,,,,,,,,,,,,
2006,EAV-04,Abfälle aus der Leder-,,,,Pelz- und Textilindustrie,18,0,3,0,3,,,,,,,,,,,
2006,EAV-040103-G, Entfettungsabfälle,,,,lösemittelh.,,,oh.flüssige Phase,-,,,,,,,,,,,,
2006,EAV-040214-G, Abfälle aus dem Finish mit organ. Lösungsmittel,6,0,,2,0,,2,,,,,,,,,,,,,
2006,EAV-040216-G, Farbstoffe und Pigmente mit gefährlichen Stoffen,4,0,,0,0,,0,,,,,,,,,,,,,
2006,EAV-040219-G, Textilindustrie:Schlämme(betriebseig.Abwasserbeh.),7,0,,1,0,,1,,,,,,,,,,,,,
2006,EAV-05,Abfälle aus der Erdölraffination,,,,Erdgasreinigung,193,158,8,157,2,,,,,,,,,,,
2006,EAV-050102-G, Erdölraffination: Entsalzungsschlämme,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050103-G, Erdölraffination: Bodenschlämme aus Tanks,61,16,,7,15,,8,,,,,,,,,,,,,
2006,EAV-050104-G, Erdölraffination: Saure Alkylschlämme,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050105-G, Erdölraffination: Verschüttetes Öl,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050106-G, Erdölraffination: Ölhalt.Schlämme a.Betriebsvorg.,62,12,,1,11,,7,,,,,,,,,,,,,
2006,EAV-050107-G, Erdölraffination: Säureteere,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050108-G, Erdölraffination: Andere Teere,7,0,,3,0,,3,,,,,,,,,,,,,
2006,EAV-050109-G, Erdölraffin.: Schlämme (betriebseig.Abwasserbeh.),8,14,,3,14,,3,,,,,,,,,,,,,
2006,EAV-050111-G, Erdölraffin.: Abf. aus Brennstoffrein. mit Basen,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050112-G, Erdölraffination: Säurehaltige Öle,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050115-G, Erdölraffination: Gebrauchte Filtertone,17,2,,1,2,,0,,,,,,,,,,,,,
2006,EAV-050601-G, Kohlepyrolyse: Säureteere,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-050603-G, Kohlepyrolyse: Andere Teere,78,112,,7,112,,6,,,,,,,,,,,,,
2006,EAV-050701-G, Erdgasreinigung,,,,#NAME?,3,0,1,0,1,,,,,,,,,,,
2006,EAV-06,Abfälle aus anorganisch-chemischen Prozessen,1137,276,,5,261,,0,,,,,,,,,,,,,
2006,EAV-060101-G, Schwefelsäure und schweflige Säure,183,117,,3,116,,9,,,,,,,,,,,,,
2006,EAV-060102-G, Salzsäure,58,5,,1,4,,9,,,,,,,,,,,,,
2006,EAV-060103-G, Flusssäure,22,0,,3,0,,3,,,,,,,,,,,,,
2006,EAV-060104-G, Phosphorsäure und phosphorige Säure,37,1,,5,1,,5,,,,,,,,,,,,,
2006,EAV-060105-G, Salpetersäure und salpetrige Säure,47,2,,6,2,,5,,,,,,,,,,,,,
2006,EAV-060106-G, Andere Säuren,232,17,,2,15,,0,,,,,,,,,,,,,
2006,EAV-060201-G, Calciumhydroxid,10,0,,8,0,,8,,,,,,,,,,,,,
2006,EAV-060203-G, Ammoniumhydroxid,83,1,,6,1,,3,,,,,,,,,,,,,
2006,EAV-060204-G, Natrium- und Kaliumhydroxid,42,7,,4,5,,8,,,,,,,,,,,,,
2006,EAV-060205-G, Andere Basen,214,20,,4,19,,5,,,,,,,,,,,,,
2006,EAV-060311-G, Feste Salze u. Lösungen,,,,Cyanid enthaltend,39,0,5,0,4,,,,,,,,,,,
2006,EAV-060313-G, Feste Salze u. Lösungen,,,,Schwermetalle enthaltend,133,8,2,7,0,,,,,,,,,,,
2006,EAV-060315-G, Metalloxide,,,,die Schwermetalle enthalten,33,5,5,5,2,,,,,,,,,,,
2006,EAV-060403-G, Arsenhaltige Abfälle,23,1,,0,0,,9,,,,,,,,,,,,,
2006,EAV-060404-G, Quecksilberhaltige Abfälle,179,7,,4,6,,7,,,,,,,,,,,,,
2006,EAV-060405-G, Abfälle,,,,die andere Schwermetalle enthalten,129,20,7,20,1,,,,,,,,,,,
2006,EAV-060502-G, Schlämme aus betriebseigener Abwasserbehandlung,85,38,,5,36,,0,,,,,,,,,,,,,
2006,EAV-060602-G, Abfälle,,,,die gefährliche Sulfide enthalten,4,0,3,0,3,,,,,,,,,,,
2006,EAV-060701-G, Asbesthaltige Abfälle aus der Elektrolyse,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-060702-G, Aktivkohle aus der Chlorherstellung,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-060703-G, Quecksilberhaltige Bariumsulfatschlämme,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-060704-G, Lösungen und Säuren,,,,z.B. Kontaktsäure,-,-,,,,,,,,,,,,,,
2006,EAV-060802-G, Gefährliche Chlorsilane enthaltende Abfälle,4,4,,2,0,,2,,,,,,,,,,,,,
2006,EAV-060903-G, Reaktionsabfälle auf Calciumbasis,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-061002-G, Stickstoffh.Chemik.: Abfälle mit gefährl. Stoffen,6,0,,1,0,,1,,,,,,,,,,,,,
2006,EAV-061301-G, Anorganische Pflanzenschutzmittel,,,,Holzschutzmittel,69,0,5,0,3,,,,,,,,,,,
2006,EAV-061302-G, Gebrauchte Aktivkohle (ohne 060702),69,2,,9,2,,8,,,,,,,,,,,,,
2006,EAV-061304-G, Abfälle aus der Asbestverarbeitung,18,1,,1,0,,7,,,,,,,,,,,,,
2006,EAV-061305-G, Ofen- und Kaminruß,-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-07,Abfälle aus organisch-chemischen Prozessen,2156,886,,2,801,,3,,,,,,,,,,,,,
2006,EAV-070101-G, Org.Grundchemik.: Wässrige Waschfl.,,,,Mutterlaugen,149,29,1,24,5,,,,,,,,,,,
2006,EAV-070103-G, Org.Grundchemik.: Halogenorg.Lösemittel,,,,Waschfl.,117,24,7,17,3,,,,,,,,,,,
2006,EAV-070104-G, Org.Grundchemik.: Lösemittel,,,,Waschflüssigkeiten,367,97,9,74,2,,,,,,,,,,,
2006,EAV-070107-G, Org.Grundchemik.: Halog.Reaktions-,,,,Destill.rückst.,36,34,8,32,5,,,,,,,,,,,
2006,EAV-070108-G, Org.Grundchemik.: Reaktions-,,,,Destillationsrückst.,145,58,9,52,5,,,,,,,,,,,
2006,EAV-070109-G, Org.Grundchemik.: Halog.Filterkuchen,,,,Aufsaugmat.,12,0,4,0,4,,,,,,,,,,,
2006,EAV-070110-G, Org.Grundchemik.: And. Filterkuchen,,,,Aufsaugmat.,50,5,5,5,2,,,,,,,,,,,
2006,EAV-070111-G, Org.Grundchemik.:Schlämme(betriebseig.Abwasserbeh),30,5,,1,4,,8,,,,,,,,,,,,,
2006,EAV-070201-G, Kunststoffe: Wässrige Waschfl.,,,,Mutterlaugen,83,23,1,22,0,,,,,,,,,,,
2006,EAV-070203-G, Kunststoffe: Halogenorg.Lösemittel,,,,Waschflüssig.,46,2,9,2,5,,,,,,,,,,,
2006,EAV-070204-G, Kunststoffe: organ. Lösemittel,,,,Waschflüssigkeiten,195,37,2,33,6,,,,,,,,,,,
2006,EAV-070207-G, Kunststoffe: Halog. Reaktions-,,,,Destill.rückstände,54,7,4,3,1,,,,,,,,,,,
2006,EAV-070208-G, Kunststoffe: Reaktions-,,,,Destillationsrückstände,500,72,6,70,5,,,,,,,,,,,
2006,EAV-070209-G, Kunststoffe: Halog. Filterkuchen,,,,Aufsaugmat.,9,0,5,0,5,,,,,,,,,,,
2006,EAV-070210-G, Kunststoffe: And. Filterkuchen,,,,Aufsaugmaterialien,48,5,1,4,1,,,,,,,,,,,
2006,EAV-070211-G, Kunststoffe: Schlämme (betriebseig.Abwasserbeh.),14,4,,0,3,,8,,,,,,,,,,,,,
2006,EAV-070214-G, Kunststoffe: Abfälle v.Zusatzstoffen m.gefährl.St.,29,0,,7,0,,7,,,,,,,,,,,,,
2006,EAV-070216-G, Kunststoffe: Gefährl. Silicone enthaltende Abfälle,4,0,,9,0,,3,,,,,,,,,,,,,
2006,EAV-070301-G, Org.Farbstoffe: Wässrige Waschfl.,,,,Mutterlaugen,36,4,2,3,9,,,,,,,,,,,
2006,EAV-070303-G, Org.Farbstoffe: Halogenorg. Lösemittel,,,,Waschfl.,38,1,9,1,6,,,,,,,,,,,
2006,EAV-070304-G, Org.Farbstoffe: Lösemittel,,,,Waschflüssigkeiten,335,53,6,49,8,,,,,,,,,,,
2006,EAV-070307-G, Org.Farbstoffe: Halog. Reaktions-,,,,Destill.rückst.,11,1,0,1,0,,,,,,,,,,,
2006,EAV-070308-G, Org.Farbstoffe: Reaktions-,,,,Destillationsrückstände,28,1,6,1,6,,,,,,,,,,,
2006,EAV-070309-G, Org.Farbstoffe: Halog. Filterkuchen,,,,Aufsaugmat.,7,0,2,0,2,,,,,,,,,,,
2006,EAV-070310-G, Org.Farbstoffe: Andere Filterkuchen,,,,Aufsaugmat.,18,3,6,3,6,,,,,,,,,,,
2006,EAV-070311-G, Org.Farbstoffe: Schlämme(betriebseig.Abwasserbeh.),7,0,,4,0,,4,,,,,,,,,,,,,
2006,EAV-070401-G, Pflanzenschutzmittel:Wässrige Waschfl.,,,,Mutterlaug.,16,7,3,7,3,,,,,,,,,,,
2006,EAV-070403-G, Pflanzenschutzmit.: Halogenorg.Lösemittel,,,,Waschfl.,16,10,4,10,4,,,,,,,,,,,
2006,EAV-070404-G, Pflanzenschutzmittel: Organ. Lösemittel,,,,Waschfl.,14,15,3,15,3,,,,,,,,,,,
2006,EAV-070407-G, Pflanzenschutzmit.:Halog.Reaktions-,,,,Destill.rückst,8,4,6,4,6,,,,,,,,,,,
2006,EAV-070408-G, Pflanzenschutzmittel: Reaktions-,,,,Destill.rückst.,9,1,6,1,6,,,,,,,,,,,
2006,EAV-070409-G, Pflanzenschutzmittel:Halog.Filterkuchen,,,,Aufsaugmat,-,-,,,,,,,,,,,,,,
2006,EAV-070410-G, Pflanzenschutzmittel: Filterkuchen,,,,Aufsaugmat.,6,0,3,0,3,,,,,,,,,,,
2006,EAV-070411-G, Pflanzenschutzm.:Schlämme(betriebseig.Abwasserbeh),-,-,-,,,,,,,,,,,,,,,,,
2006,EAV-070413-G, Pflanzenschutzmittel: Feste Abfälle m.gefährl.St.,8,0,,5,0,,5,,,,,,,,,,,,,
2006,EAV-070501-G, Pharmazeutika: Wässrige Waschfl.,,,,Mutterlaugen,49,39,6,39,6,,,,,,,,,,,
2006,EAV-070503-G, Pharmazeutika: Halogenorg.Lösemittel,,,,Waschfl.,54,14,1,14,0,,,,,,,,,,,
2006,EAV-070504-G, Pharmazeutika: organ. Lösemittel,,,,Waschflüssigk.,91,56,1,56,0,,,,,,,,,,,
2006,EAV-070507-G, Pharmazeutika: Halog.Reaktions-,,,,Destill.rückst.,10,1,9,1,9,,,,,,,,,,,
2006,EAV-070508-G, Pharmazeutika: Reaktions-,,,,Destillationsrückstände,53,3,1,3,0,,,,,,,,,,,
2006,EAV-070509-G, Pharmazeutika: Halog.Filterkuchen,,,,Aufsaugmat.,9,0,1,0,1,,,,,,,,,,,
2006,EAV-070510-G, Pharmazeutika: Filterkuchen,,,,Aufsaugmaterialien,24,1,6,1,6,,,,,,,,,,,
2006,EAV-070511-G, Pharmazeutika: Schlämme (betriebseig.Abwasserbeh.),6,0,,5,0,,5,,,,,,,,,,,,,
2006,EAV-070513-G, Pharmazeutika: Feste Abfälle mit gefährl. Stoffen,31,1,,4,1,,4,,,,,,,,,,,,,
2006,EAV-070601-G, Fette,,,,Seifen: Wässrige Waschfl.,,,Mutterlaugen,138,7,3,,,,,,,,,,
2006,EAV-070603-G, Fette,,,,Seifen: Halogenorg.Lösemittel,,,Waschfl.,33,1,5,,,,,,,,,,
2006,EAV-070604-G, Fette,,,,Seifen: organ. Lösemittel,,,Waschflüssigk.,84,8,7,,,,,,,,,,
2006,EAV-070607-G, Fette,,,,Seifen: Halog.Reaktions-,,,Destill.rückst.,3,1,0,,,,,,,,,,
2006,EAV-070608-G, Fette,,,,Seifen: Reaktions-,,,Destillationsrückstände,146,6,7,,,,,,,,,,
