GENESIS table: 32131-0002
Collected transport and outer packaging: Germany,;;;;
years, whereabouts of the packaging, types of packaging;;;;
get i.e. collection v. Transport and outer packaging;;;;
Germany;;;;
Collected transport and outer packaging (1000 t);;;;
;;Whereabouts of the packaging;Whereabouts of the packaging;Whereabouts of the packaging
;;Sorting plants (in-house and third-party);Recyclers (including waste material trade);Total
2001; Packaging for non-harmful substances made of glass; 22.8; 55.7; 78.5
2001; Packaging for non-harmful substances. Filling goods a. Paper, cardboard;1327.7;1790.1;3117.8
2001;Packaging for harmful substances filled with metals;39.4;75.3;114.7
2001; Packaging for non-hazardous materials made of plastic; 108.4; 127.8; 236.2
2001;Packaging for harmful substances made of wood;162.0;259.5;421.6
2001; Packaging for non-toxic filling goods from composites; 24.3; 13.8; 38.1
2001; Packaging for harmful substances and filling goods a. otherwise. Mater.;433.9;97.5;531.4
2001;Packaging for filling goods containing pollutants;2.5;3.3;5.7
2001;Total;2121.0;2423.0;4544.0
2002; Packaging for non-harmful substances made of glass; 37.4; 44.3; 81.7
2002; Packaging for harmful substances and filling goods a. Paper, cardboard; 1377.5; 1662.0; 3039.5
2002;Packaging for hazardous materials filled with metals;34.6;73.0;107.6
2002; Packaging for harmful substances filled with plastics; 110.6; 127.8; 238.5
2002;Packaging for non-harmful materials made of wood;144.4;261.6;406.0
2002; Packaging for non-toxic filling goods from composites; 38.8; 12.9; 51.7
2002; Packaging for harmful substances and filling goods a. otherwise. Mater.;547.3;76.8;624.2
2002;Packaging for hazardous goods;1.4;4.3;5.7
2002;Total;2292.2;2262.7;4554.9
2003; Packaging for harmful substances made from glass; 36.9; 49.8; 86.7
2003; Packaging for non-harmful substances. Filling goods a. Paper, cardboard;1256.2;1695.4;2951.5
2003;Packaging for hazardous materials filled with metals;33.4;107.6;141.0
2003; Packaging for non-harmful materials made of plastic; 128.8; 121.8; 250.5
2003;Packaging for harmful substances made of wood;156.6;246.9;403.6
2003; Packaging for non-toxic filling goods from composites; 12.4; 16.6; 29.0
2003; Packaging for non-harmful substances. Filling goods a. otherwise. Mater.;534.6;76.5;611.1
2003;Packaging for goods containing pollutants;2.0;4.7;6.7
2003;Total;2160.8;2319.3;4480.1
2004; Packaging for non-harmful substances made of glass; 28.2; 71.0; 99.2
2004; Packaging for harmful substances and filling goods a. Paper, cardboard; 1402.3; 1661.1; 3063.4
