GENESIS-Tabelle: 32141-0002
Bauschuttaufbereitungsanlagen: Deutschland, Jahre,;;;;;;
Abfallarten;;;;;;
Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen;;;;;;
Deutschland;;;;;;
;;;Bauschuttaufbereitungsanlagen;Input von Bauschuttaufbereitungsanlagen;Bauschuttaufbereitungsanlagen mit Output;Output von Bauschuttaufbereitungsanlagen
;;;Anzahl;1000 t;Anzahl;1000 t
2006;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-;-
2006;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);-;-;-;-
2006;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2006;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2006;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2006;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2006;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2006;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2006;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2006;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2006;EAV-10;Abfälle aus thermischen Prozessen;34;483,4;-;-
2006;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);3;27,6;-;-
2006;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2006;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;4;139,1;-;-
2006;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;6;24,5;-;-
2006;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2006;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2006;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;11;128,9;-;-
2006;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2006;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);5;136,5;-;-
2006;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);-;-;-;-
2006;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2006;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2006;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2006;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;4;0,2;-;-
2006;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2006;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2006;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);4;6,5;-;-
2006;EAV-101314-U;  Betonabfälle und Betonschlämme;3;12,2;-;-
2006;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;4;4,9;-;-
2006;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2006;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2006;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2006;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);3;1,9;-;-
2006;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;3;0,0
2006;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;-;-
2006;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2006;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2006;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;6;9,8;8;1,6
2006;EAV-150101-U;  Verpackungen aus Papier und Pappe;3;1,0;3;0,7
2006;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2006;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2006;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;5;8,3;5;0,9
2006;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2006;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;-;-
2006;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2006;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;11;40,1;5;0,2
2006;EAV-160103-U;  Altreifen;-;-;5;0,2
2006;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2006;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);8;36,7;-;-
2006;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);6;3,3;-;-
2006;EAV-17;Bau- und Abbruchabfälle;2034;59293,5;80;685,8
2006;EAV-170101-U;  Beton;1509;21012,5;21;217,9
2006;EAV-170102-U;  Ziegel;968;5792,0;13;100,0
2006;EAV-170103-U;  Fliesen und Keramik;466;1243,5;4;49,1
2006;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;6;18,8;-;-
2006;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);961;13828,0;11;126,9
2006;EAV-170201-U;  Holz;34;51,9;10;5,6
2006;EAV-170202-U;  Glas;11;17,7;-;-
2006;EAV-170203-U;  Kunststoff;7;2,4;-;-
2006;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;13;7,0;5;10,3
2006;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;42;530,7;4;5,2
2006;EAV-170302-U;  Bitumengemische (ohne 170301);1008;7912,6;7;4,2
2006;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;12;107,0;8;1,0
2006;EAV-170402-U;  Aluminium;-;-;-;-
2006;EAV-170403-U;  Blei;-;-;-;-
2006;EAV-170405-U;  Eisen und Stahl;9;0,9;8;1,0
2006;EAV-170407-U;  Gemischte Metalle;4;0,5;-;-
2006;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2006;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;4;16,5;-;-
2006;EAV-170504-U;  Boden und Steine (ohne 170503);680;7250,4;16;100,9
2006;EAV-170506-U;  Baggergut (ohne 170505);4;36,5;-;-
2006;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;8;85,4;-;-
2006;EAV-170508-U;  Gleisschotter (ohne 170507);49;916,8;-;-
2006;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2006;EAV-170603-G;  Anderes Dämmmaterial;5;0,7;6;0,9
2006;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);8;46,4;4;0,4
2006;EAV-170605-G;  Asbesthaltige Baustoffe;10;0,3;10;0,4
2006;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);46;17,3;5;4,4
2006;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2006;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);68;383,2;34;33,1
2006;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;31;476,0;2015;59601,1
2006;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2006;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);3;94,5;-;-
2006;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2006;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2006;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
