GENESIS-Tabelle: 32131-0002
Eingesammelte Transport- und Umverpackungen: Deutschland,;;;;
Jahre, Verbleib der Verpackungen, Verpackungsarten;;;;
Erh. d. Einsammlung v. Transport- u.Umverpackungen;;;;
Deutschland;;;;
Eingesammelte Transport- und Umverpackungen (1000 t);;;;
;;Verbleib der Verpackungen;Verbleib der Verpackungen;Verbleib der Verpackungen
;;Sortieranlagen (betriebseigene und -fremde);Verwerterbetriebe (einschließlich Altstoffhandel);Insgesamt
2001;Verpack.f.n.schadstoffh.Füllgüter aus Glas;22,8;55,7;78,5
2001;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1327,7;1790,1;3117,8
2001;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;39,4;75,3;114,7
2001;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;108,4;127,8;236,2
2001;Verpack.f.n.schadstoffh.Füllgüter aus Holz;162,0;259,5;421,6
2001;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;24,3;13,8;38,1
2001;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;433,9;97,5;531,4
2001;Verpackungen für schadstoffhaltige Füllgüter;2,5;3,3;5,7
2001;Insgesamt;2121,0;2423,0;4544,0
2002;Verpack.f.n.schadstoffh.Füllgüter aus Glas;37,4;44,3;81,7
2002;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1377,5;1662,0;3039,5
2002;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;34,6;73,0;107,6
2002;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;110,6;127,8;238,5
2002;Verpack.f.n.schadstoffh.Füllgüter aus Holz;144,4;261,6;406,0
2002;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;38,8;12,9;51,7
2002;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;547,3;76,8;624,2
2002;Verpackungen für schadstoffhaltige Füllgüter;1,4;4,3;5,7
2002;Insgesamt;2292,2;2262,7;4554,9
2003;Verpack.f.n.schadstoffh.Füllgüter aus Glas;36,9;49,8;86,7
2003;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1256,2;1695,4;2951,5
2003;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;33,4;107,6;141,0
2003;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;128,8;121,8;250,5
2003;Verpack.f.n.schadstoffh.Füllgüter aus Holz;156,6;246,9;403,6
2003;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;12,4;16,6;29,0
2003;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;534,6;76,5;611,1
2003;Verpackungen für schadstoffhaltige Füllgüter;2,0;4,7;6,7
2003;Insgesamt;2160,8;2319,3;4480,1
2004;Verpack.f.n.schadstoffh.Füllgüter aus Glas;28,2;71,0;99,2
2004;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1402,3;1661,1;3063,4
2004;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;38,0;74,5;112,5
2004;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;109,0;160,7;269,6
2004;Verpack.f.n.schadstoffh.Füllgüter aus Holz;189,1;241,3;430,4
2004;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;13,5;24,8;38,3
2004;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;507,7;120,4;628,2
2004;Verpackungen für schadstoffhaltige Füllgüter;1,1;4,2;5,3
2004;Insgesamt;2288,9;2358,0;4646,9
2005;Verpack.f.n.schadstoffh.Füllgüter aus Glas;54,7;46,8;101,6
2005;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1496,2;1645,3;3141,5
2005;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;40,4;67,8;108,2
2005;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;113,9;145,8;259,7
2005;Verpack.f.n.schadstoffh.Füllgüter aus Holz;147,5;256,5;404,0
2005;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;7,5;7,7;15,2
2005;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;540,1;104,9;645,0
2005;Verpackungen für schadstoffhaltige Füllgüter;2,7;7,4;10,1
2005;Insgesamt;2403,1;2282,1;4685,1
2006;Verpack.f.n.schadstoffh.Füllgüter aus Glas;64,4;51,4;115,9
2006;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1354,7;1781,7;3136,5
2006;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;18,5;76,8;95,3
2006;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;102,9;177,9;280,8
2006;Verpack.f.n.schadstoffh.Füllgüter aus Holz;121,6;262,1;383,6
2006;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;7,9;9,2;17,1
2006;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;445,1;80,5;525,7
2006;Verpackungen für schadstoffhaltige Füllgüter;8,0;9,1;17,0
2006;Insgesamt;2123,1;2448,6;4571,7
2007;Verpack.f.n.schadstoffh.Füllgüter aus Glas;62,1;62,9;125,1
2007;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1316,7;1729,1;3045,9
2007;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;30,9;54,6;85,5
2007;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;114,8;178,0;292,8
2007;Verpack.f.n.schadstoffh.Füllgüter aus Holz;126,3;262,6;388,9
2007;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;7,9;8,6;16,5
2007;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;453,9;120,0;573,9
2007;Verpackungen für schadstoffhaltige Füllgüter;6,6;7,2;13,8
2007;Insgesamt;2119,2;2423,1;4542,3
2008;Verpack.f.n.schadstoffh.Füllgüter aus Glas;63,1;64,6;127,6
2008;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1220,5;1653,1;2873,6
2008;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;34,7;59,1;93,8
2008;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;106,4;181,2;287,5
2008;Verpack.f.n.schadstoffh.Füllgüter aus Holz;109,1;245,9;355,0
2008;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;4,9;14,0;18,9
2008;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;329,7;144,9;474,6
2008;Verpackungen für schadstoffhaltige Füllgüter;7,0;7,8;14,7
2008;Insgesamt;1875,3;2370,6;4245,9
2009;Verpack.f.n.schadstoffh.Füllgüter aus Glas;19,9;54,9;74,8
2009;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;996,7;1935,8;2932,5
2009;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;15,6;56,1;71,7
2009;Verpack.f.n.schadstoffh.Füllgüter aus Kunststoffen;82,3;184,4;266,6
2009;Verpack.f.n.schadstoffh.Füllgüter aus Holz;88,3;240,6;328,8
2009;Verpack.f.n.schadstoffh.Füllgüter aus Verbunden;9,7;19,2;28,9
2009;Verpack.f.n.schadstoffh.Füllgüter a. sonst. Mater.;234,2;191,1;425,2
2009;Verpackungen für schadstoffhaltige Füllgüter;4,2;6,0;10,2
2009;Insgesamt;1450,8;2688,0;4138,8
2010;Verpack.f.n.schadstoffh.Füllgüter aus Glas;43,6;59,6;103,2
2010;Verpack.f.n.schadstoffh.Füllgüter a. Papier, Pappe;1085,2;1857,6;2942,8
2010;Verpack.f.n.schadstoffh.Füllgüter aus Metallen;13,6;64,8;78,4
