GENESIS table: 32161-0001
Companies, amount of waste generated: Germany, years,;;;;
types of waste;;;;
Waste generation survey;;;;
Germany;;;;
;;;Operations;Amount of waste generated
;;;Number;1000 t
2010;EAV-01;Wastes from the extraction of mineral resources;;
2010;EAV-010101-U; Waste from mining v. metalliferous minerals;3;1,7
2010;EAV-010102-U; Waste from mining v. nonmetallic Natural resources;3;13.7
2010;EAV-010304-G; Acid-forming tailings a. sul. Ore;-;-
2010;EAV-010305-G; Other processing residues with hazardous substances;-;-
2010;EAV-010306-U; Processing residues (without 010304 and 010305);-;-
2010;EAV-010307-G; waste from processing metal-bearing mineral resources;-;-
2010;EAV-010308-U; Dusty and powdery waste (without 010307);-;-
2010;EAV-010309-U; Red mud from alumina production(oh.010310);-;-
2010;EAV-010399-U; processing from metallh. Mineral resources: waste not otherwise specified;-;-
2010;EAV-010407-G; Waste from further processing nonmetallic Mineral Resources;3;1.0
2010;EAV-010408-U; Gravel and rock rubble waste (excluding 010407);16;140.4
2010;EAV-010409-U; sand and clay waste;15;15.9
2010;EAV-010410-U; Dusty and powdery waste (without 010407);18;41.4
2010;EAV-010411-U; waste from processing of potash and rock salt (oh.010407);6;10.9
2010;EAV-010412-U; reprocessing including waste (oh.010407,010411);-;-
2010;EAV-010413-U; Waste from stonemasonry and sawing work (without 010407);23;69.8
2010;EAV-010499-U; processing v. nonmetallic Bodensch.: Waste not otherwise specified;7;0.3
2010;EAV-010504-U; Sludges and waste from freshwater wells;5;42.9
2010;EAV-010505-G; Oil-containing drilling muds and wastes;8;72.2
2010;EAV-010506-G; Drilling muds and other drilling waste with hazardous Substances;3;3.1
2010;EAV-010507-U; Barite-bearing drillings, waste (oh.010505,010506);-;-
2010;EAV-010508-U; chloride content. Drilling tub. waste (oh.010505,010506);7;15.4
2010;EAV-010599-U; Drilling muds and other drilling waste: waste not otherwise specified;-;-
2010;EAV-02;Waste from agriculture, forestry, etc.;;
2010;EAV-020101-U; Agricultural, etc.: sludge from washing, cleaning processes; 15; 16.8
