GENESIS-Tabelle: 32121-0001
Aufkommen an Haushaltsabfällen: Deutschland, Jahre,;;;;;
Abfallarten;;;;;
Erhebung der öffentlich-rechtl. Abfallentsorgung;;;;;
Deutschland insgesamt: Deutschland;;;;;
;;Aufkommen an Haushaltsabfällen;Aufkommen an Haushaltsabfällen je Einwohner;Beim Erstempfänger beseitigte Haushaltsabfälle;Beim Erstempfänger verwertete Haushaltsabfälle
;;1000 t;kg;1000 t;1000 t
2004;Haus- und Sperrmüll;17045,8;207;16049,6;996,2
2004;  Hausmüll, hausmüllähnliche Gewerbeabfälle;14452,4;175;14034,0;418,4
2004;  Sperrmüll;2593,4;31;2015,6;577,8
2004;Getrennt erfasste organische Abfälle;8411,4;102;43,8;8367,6
2004;  Abfälle aus der Biotonne;4121,1;50;13,4;4107,8
2004;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4290,3;52;30,5;4259,8
2004;Getrennt erfasste Wertstoffe;11570,6;140;47,4;11523,1
2004;  Glas;2126,7;26;6,2;2120,4
2004;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2376,1;29;27,5;2348,5
2004;  Papier, Pappe, Karton (PPK);5866,4;71;4,1;5862,3
2004;  Metalle;408,5;5;0,1;408,4
2004;  Holz;582,8;7;4,3;578,5
2004;  Kunststoffe;127,7;2;3,5;124,2
2004;  Textilien;82,4;1;1,6;80,8
2004;Elektroaltgeräte;302,6;4;1,8;294,9
2004;Sonstige Abfälle;253,5;3;146,0;105,4
2004;  Sonstige gefährliche Abfälle;44,3;1;23,4;19,0
2004;  Sonstige nicht gefährliche Abfälle;209,2;3;122,6;86,4
2004;Insgesamt;37583,9;456;16288,7;21287,3
2005;Haus- und Sperrmüll;16777,4;204;15378,8;1398,6
2005;  Hausmüll, hausmüllähnliche Gewerbeabfälle;14327,7;174;13717,2;610,5
2005;  Sperrmüll;2449,7;30;1661,6;788,1
2005;Getrennt erfasste organische Abfälle;8337,1;101;35,4;8301,6
2005;  Abfälle aus der Biotonne;4082,8;50;17,3;4065,5
2005;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4254,3;52;18,2;4236,1
2005;Getrennt erfasste Wertstoffe;11665,7;142;62,5;11603,3
2005;  Glas;1995,4;24;1,0;1994,4
2005;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2462,1;30;51,0;2411,2
2005;  Papier, Pappe, Karton (PPK);5925,7;72;1,4;5924,3
2005;  Metalle;374,5;5;0,0;374,4
2005;  Holz;728,9;9;3,7;725,2
2005;  Kunststoffe;83,1;1;4,0;79,2
2005;  Textilien;96,0;1;1,4;94,7
2005;Elektroaltgeräte;306,8;4;5,1;301,7
2005;Sonstige Abfälle;162,3;2;65,6;96,7
2005;  Sonstige gefährliche Abfälle;40,6;0;22,5;18,1
2005;  Sonstige nicht gefährliche Abfälle;121,6;1;43,1;78,6
2005;Insgesamt;37249,3;452;15547,4;21701,8
2006;Haus- und Sperrmüll;16686,9;203;14986,5;1700,3
2006;  Hausmüll, hausmüllähnliche Gewerbeabfälle;14238,1;173;13401,9;836,1
2006;  Sperrmüll;2448,8;30;1584,6;864,2
2006;Getrennt erfasste organische Abfälle;8449,8;103;71,6;8378,2
2006;  Abfälle aus der Biotonne;4150,0;50;9,2;4140,8
2006;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4299,7;52;62,3;4237,4
2006;Getrennt erfasste Wertstoffe;12037,1;146;469,6;11567,5
2006;  Glas;1998,1;24;3,9;1994,2
2006;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2515,0;31;340,0;2175,0
2006;  Papier, Pappe, Karton (PPK);6131,8;74;2,3;6129,4
2006;  Metalle;312,7;4;1,1;311,6
2006;  Holz;879,6;11;81,2;798,5
2006;  Kunststoffe;107,7;1;39,8;67,8
2006;  Textilien;92,3;1;1,3;91,0
2006;Elektroaltgeräte;.;.;.;.
2006;Sonstige Abfälle;162,9;2;54,5;104,2
2006;  Sonstige gefährliche Abfälle;43,2;1;22,4;16,6
2006;  Sonstige nicht gefährliche Abfälle;119,8;1;32,1;87,6
2006;Insgesamt;37336,7;454;15582,2;21750,2
2007;Haus- und Sperrmüll;16441,6;200;14895,0;1546,6
2007;  Hausmüll, hausmüllähnliche Gewerbeabfälle;14086,8;171;13393,4;693,4
2007;  Sperrmüll;2354,8;29;1501,7;853,1
2007;Getrennt erfasste organische Abfälle;8780,2;107;4,4;8775,8
2007;  Abfälle aus der Biotonne;4215,2;51;2,0;4213,2
2007;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4565,0;56;2,4;4562,6
2007;Getrennt erfasste Wertstoffe;11973,3;146;432,0;11541,3
2007;  Glas;1951,7;24;2,2;1949,6
2007;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2454,8;30;311,0;2143,7
2007;  Papier, Pappe, Karton (PPK);6159,3;75;3,7;6155,6
2007;  Metalle;280,1;3;0,6;279,5
2007;  Holz;933,4;11;78,4;855,0
2007;  Kunststoffe;98,3;1;34,9;63,4
2007;  Textilien;95,7;1;1,3;94,5
2007;Elektroaltgeräte;.;.;.;.
2007;Sonstige Abfälle;162,0;2;65,0;96,9
2007;  Sonstige gefährliche Abfälle;42,2;1;26,0;16,2
2007;  Sonstige nicht gefährliche Abfälle;119,8;1;39,1;80,7
2007;Insgesamt;37357,0;454;15396,4;21960,6
2008;Haus- und Sperrmüll;16096,5;196;14495,2;1601,3
2008;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13796,8;168;13043,8;753,0
2008;  Sperrmüll;2299,7;28;1451,4;848,3
2008;Getrennt erfasste organische Abfälle;8743,0;107;12,5;8730,5
2008;  Abfälle aus der Biotonne;4212,3;51;8,9;4203,4
2008;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4530,7;55;3,6;4527,1
2008;Getrennt erfasste Wertstoffe;11721,0;143;411,4;11309,6
2008;  Glas;1909,9;23;0,8;1909,1
2008;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2463,4;30;317,1;2146,3
2008;  Papier, Pappe, Karton (PPK);6006,9;73;2,4;6004,5
2008;  Metalle;246,7;3;0,3;246,4
2008;  Holz;935,6;11;73,6;861,9
2008;  Kunststoffe;58,5;1;15,7;42,8
2008;  Textilien;100,2;1;1,6;98,6
2008;Elektroaltgeräte;.;.;.;.
2008;Sonstige Abfälle;162,3;2;66,9;95,4
2008;  Sonstige gefährliche Abfälle;60,0;1;39,3;20,7
2008;  Sonstige nicht gefährliche Abfälle;102,3;1;27,6;74,7
2008;Insgesamt;36722,8;448;14986,0;21736,7
2009;Haus- und Sperrmüll;16238,0;199;14130,6;2107,4
2009;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13843,6;169;12612,4;1231,2
2009;  Sperrmüll;2394,4;29;1518,2;876,2
2009;Getrennt erfasste organische Abfälle;9096,5;111;12,0;9084,4
2009;  Abfälle aus der Biotonne;4325,0;53;1,5;4323,4
2009;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4771,5;58;10,5;4761,0
2009;Getrennt erfasste Wertstoffe;11690,1;143;389,7;11300,3
2009;  Glas;1899,1;23;0,5;1898,6
2009;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2479,7;30;352,2;2127,5
2009;  Papier, Pappe, Karton (PPK);5878,5;72;1,8;5876,6
2009;  Metalle;284,9;3;0,0;284,9
2009;  Holz;990,0;12;18,5;971,6
2009;  Kunststoffe;58,4;1;15,8;42,6
2009;  Textilien;99,4;1;0,9;98,6
2009;Elektroaltgeräte;.;.;.;.
2009;Sonstige Abfälle;195,6;2;72,6;123,0
2009;  Sonstige gefährliche Abfälle;63,3;1;30,7;32,5
2009;  Sonstige nicht gefährliche Abfälle;132,3;2;41,8;90,4
2009;Insgesamt;37220,1;455;14604,9;22615,2
2010;Haus- und Sperrmüll;16088,1;197;13970,9;2117,2
2010;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13715,1;168;12436,4;1278,7
2010;  Sperrmüll;2373,0;29;1534,5;838,5
2010;Getrennt erfasste organische Abfälle;8779,6;107;7,7;8771,9
2010;  Abfälle aus der Biotonne;4204,3;51;1,3;4203,0
2010;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4575,4;56;6,4;4569,0
2010;Getrennt erfasste Wertstoffe;11724,7;143;380,9;11343,8
2010;  Glas;1910,8;23;0,4;1910,5
2010;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2525,7;31;333,1;2192,6
2010;  Papier, Pappe, Karton (PPK);5874,9;72;1,5;5873,4
2010;  Metalle;272,1;3;0,3;271,8
2010;  Holz;995,0;12;37,9;957,1
2010;  Kunststoffe;45,9;1;7,3;38,6
2010;  Textilien;100,3;1;0,5;99,8
2010;Elektroaltgeräte;.;.;.;.
2010;Sonstige Abfälle;189,0;2;61,1;127,9
2010;  Sonstige gefährliche Abfälle;59,8;1;27,6;32,3
2010;  Sonstige nicht gefährliche Abfälle;129,2;2;33,5;95,7
2010;Insgesamt;36781,5;450;14420,6;22360,9
2011;Haus- und Sperrmüll;16003,8;199;13512,6;2491,3
2011;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13583,5;169;11988,6;1595,0
2011;  Sperrmüll;2420,3;30;1524,0;896,3
2011;Getrennt erfasste organische Abfälle;9083,2;113;45,8;9037,3
2011;  Abfälle aus der Biotonne;4349,7;54;0,0;4349,7
2011;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4733,4;59;45,8;4687,6
2011;Getrennt erfasste Wertstoffe;12011,3;150;361,0;11650,3
2011;  Glas;1956,0;24;0,6;1955,4
2011;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2596,8;32;320,6;2276,3
2011;  Papier, Pappe, Karton (PPK);5967,0;74;1,0;5966,0
2011;  Metalle;262,1;3;0,0;262,1
2011;  Holz;1064,3;13;23,9;1040,4
2011;  Kunststoffe;61,7;1;14,5;47,2
2011;  Textilien;103,4;1;0,5;102,8
2011;Elektroaltgeräte;.;.;.;.
2011;Sonstige Abfälle;97,7;1;52,0;45,7
2011;  Sonstige gefährliche Abfälle;44,6;1;26,5;18,1
2011;  Sonstige nicht gefährliche Abfälle;53,2;1;25,5;27,7
2011;Insgesamt;37196,0;463;13971,4;23224,6
2012;Haus- und Sperrmüll;15573,1;193;11314,6;4258,4
2012;  Hausmüll, hausmüllähnliche Gewerbeabfälle;13212,8;164;9990,9;3221,9
2012;  Sperrmüll;2360,3;29;1323,8;1036,5
2012;Getrennt erfasste organische Abfälle;9095,5;113;12,4;9083,1
2012;  Abfälle aus der Biotonne;4358,5;54;0,1;4358,4
2012;  Biologisch abbaubare Abfälle (Garten-,Parkabfälle);4737,0;59;12,3;4724,7
2012;Getrennt erfasste Wertstoffe;11917,9;148;392,9;11525,0
2012;  Glas;1908,8;24;0,6;1908,2
2012;  Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde;2570,0;32;327,1;2242,9
2012;  Papier, Pappe, Karton (PPK);5837,8;72;9,2;5828,6
2012;  Metalle;253,3;3;0,0;253,3
2012;  Holz;1122,0;14;16,2;1105,8
2012;  Kunststoffe;126,1;2;39,3;86,8
2012;  Textilien;100,0;1;0,4;99,5
2012;Elektroaltgeräte;.;.;.;.
2012;Sonstige Abfälle;135,3;2;61,5;73,8
2012;  Sonstige gefährliche Abfälle;48,5;1;27,7;20,8
2012;  Sonstige nicht gefährliche Abfälle;86,8;1;33,9;52,9
2012;Insgesamt;36721,8;456;11781,5;24940,4
