year,data_belong_to,eav_code,types_of_waste,etroi_establishments_number,generated_waste_quantity
2010,Germany as a whole,EAV-01,Falls from the extraction of land values,,
2010,Germany as a whole,EAV-010101-U, Cases from dismantling v. metal-rich soil resources,3,1.7
2010,Germany as a whole,EAV-010102-U, Cases from dismantling v. non-metal Floor shows,3,13.7
2010,Germany as a whole,EAV-010304-G, Acid forming treatment residues a. sul. ore,,
2010,Germany as a whole,EAV-010305-G, Other treatment residues with hazardous substances,,
2010,Germany as a whole,EAV-010306-U, Treatment residues (other than 010304 and 010305),,
2010,Germany as a whole,EAV-010307-G, Cases from processing metallized earthenware,,
2010,Germany as a whole,EAV-010308-U, Dusty and powdery waste (oh 010307),,
2010,Germany as a whole,EAV-010309-U, Red Mud from Aluminum Oxide Manufacturing(oh.010310),,
2010,Germany as a whole,EAV-010399-U, Verrab. of metals. Appreciation,,
2010,Germany as a whole,EAV-010407-G,Waste for further processing non-metal Ground visors,3,1.0
2010,Germany as a whole,EAV-010408-U, Falls of gravel and rock quarry (OH 010407),16,140.4
2010,Germany as a whole,EAV-010409-U, Fall of Sand and Clay,15,15.9
2010,Germany as a whole,EAV-010410-U, Dusty and powdery waste (oh 010407),18,41.4
2010,Germany as a whole,EAV-010411-U, Cases from processing v.potash and rock salt (oh.010407),6,10.9
2010,Germany as a whole,EAV-010412-U, Processing return including waste (oh.010407010411),,
2010,Germany as a whole,EAV-010413-U, Waste from stonemasonry and sawmill work (OH 010407),23,69.8
2010,Germany as a whole,EAV-010499-U, Verrab. v. non-metal Floor protection: Falling angle,7,0.3
2010,Germany as a whole,EAV-010504-U, Shells and falls from fresh water boreholes,5,42.9
2010,Germany as a whole,EAV-010505-G, Oil-containing boreholes and wells,8,72.2
2010,Germany as a whole,EAV-010506-G, Drill holes or drill holes with danger. substances,3,3.1
2010,Germany as a whole,EAV-010507-U, Barite-containing drilling cuttings and waste (oh.010505010506),,
2010,Germany as a whole,EAV-010508-U, Chloride content. Drilling cuttings waste (oh.010505010506),7,15.4
2010,Germany as a whole,EAV-010599-U, Drilling mud and other boreholes:,,
2010,Germany as a whole,EAV-02,Crops from agriculture forestry etc.,,
2010,Germany as a whole,EAV-020101-U, Agrarsch.ua: sludge from washing cleaning process.,15,16.8
2010,Germany as a whole,EAV-020102-U, Agrarsch.ua: Falls from animal tissue,25,64.6
2010,Germany as a whole,EAV-020103-U, Landwirtschaftsch.ua: Absences from vegetal tissue,88,216.7
2010,Germany as a whole,EAV-020104-U, Agriculture etc.: plastic waste (without packaging),49,147.7
2010,Germany as a whole,EAV-020106-U, Animal excrement liquid manure/slurry manure,61,70.8
2010,Germany as a whole,EAV-020107-U, Fall from the forestry,12,0.1
2010,Germany as a whole,EAV-020108-G, Uses of chemicals for agriculture,25,1.7
2010,Germany as a whole,EAV-020109-U, waste v. chemistry. for agriculture(oh.020108),5,0.6
2010,Germany as a whole,EAV-020110-U, Agriculture et al.: metallab fields,30,1.2
2010,Germany as a whole,EAV-020199-U, Agriculture among others: Farmland,14,1.2
2010,Germany as a whole,EAV-020201-U, Meat etc.: sludge from washing and cleaning processes,55,29.7
2010,Germany as a whole,EAV-020202-U, Flesh et al.: Abscesses from fatty tissue,217,450.0
2010,Germany as a whole,EAV-020203-U, Meat and others: For consumption/processing. unsuitable substances,293,429.5
2010,Germany as a whole,EAV-020204-U, Meat etc.: sludge (own waste water treatment),2174,543.4
2010,Germany as a whole,EAV-020299-U, marriage of meat fish etc.: Waste nec,60,143.1
2010,Germany as a whole,EAV-020301-U, Fruit among others: scum from washing cleaning process. etc,50,92.0
