Year,Industry Code,Industry,EAV code,Waste Description,Number Of Waste Generators,Volumes Of Waste (1000t),Volumes Of Waste Generated By Primary Producers (1000t)
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-01,Waste from the extraction of mineral resources,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-02,"Waste from agriculture, forestry, etc.",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-03,"Waste from wood processing, etc.",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-04,"Waste from the leather, fur and textile industries",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-05,"Waste from petroleum refining, natural gas purification",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-06,Waste from inorganic chemical processes,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-07,Waste from organic chemical processes,6.0,0.2,0.2
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-09,Waste from the photographic industry,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-10,Waste from thermal processes,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-11,Waste from chemical surface treatment,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-12,Waste from mechanical shaping processes,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-13,Oil waste and liquid fuel waste,8.0,0.3,0.3
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-14,"Waste from organic solvents, coolants",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-15,"Packaging waste, absorbent masses, wipes",,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-16,Waste not included elsewhere in the inventory,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-17,Construction and demolition waste,123.0,5.3,5.3
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-18,Waste from medical supplies,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-19,Waste from waste treatment plants e.g.,,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",EAV-20,Municipal waste (household waste and similar waste),,,
2008,WZ08-A,"Agriculture And Forestry, Fisheries",,In total,140.0,6.3,6.3
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-01,Waste from the extraction of mineral resources,12.0,130.3,130.3
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-02,"Waste from agriculture, forestry, etc.",,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-03,"Waste from wood processing, etc.",,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-04,"Waste from the leather, fur and textile industries",,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-05,"Waste from petroleum refining, natural gas purification",12.0,0.5,0.5
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-06,Waste from inorganic chemical processes,10.0,0.3,0.3
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-07,Waste from organic chemical processes,5.0,0.0,0.0
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",10.0,0.2,0.2
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-09,Waste from the photographic industry,,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-10,Waste from thermal processes,,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-11,Waste from chemical surface treatment,,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-12,Waste from mechanical shaping processes,17.0,1.5,1.5
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-13,Oil waste and liquid fuel waste,46.0,5.6,5.5
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-14,"Waste from organic solvents, coolants",,,
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-15,"Packaging waste, absorbent masses, wipes",48.0,0.8,0.8
2008,WZ08-B,Mining And Quarrying Of Stone And Earth,EAV-16,Waste not included elsewhere in the inventory,17.0,0.8,0.8
