Year,EAV Code,Waste Description,Number Of Waste Producers,Quantities Of Waste (1000t),Quantities Of Waste Generated By Primary Producers (1000t)
2006,EAV-01,waste from the extraction of mineral resources,26.0,140.6,139.5
2006,EAV-010304-G,Acid-forming tailings a. sul. ore,,,
2006,EAV-010305-G,Other processing residues containing hazardous substances,,,
2006,EAV-010307-G,Waste from processing metal-bearing mineral resources,,,
2006,EAV-010407-G,Waste from further processing non-metal Mineral resources,3.0,0.4,0.4
2006,EAV-010505-G,Oily drilling muds and wastes,20.0,139.9,138.9
2006,EAV-010506-G,Drilling muds and other drilling waste with hazardous fabrics,,,
2006,EAV-02,"Waste from agriculture, forestry, etc.",77.0,2.1,1.7
2006,EAV-020108-G,Agricultural chemical waste,77.0,2.1,1.7
2006,EAV-03,"Waste from woodworking, etc.",31.0,0.6,0.6
2006,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",7.0,0.4,0.4
2006,EAV-030201-G,Halogen-free organic wood preservatives,5.0,0.1,0.0
2006,EAV-030202-G,Organochlorine wood preservatives,9.0,0.1,0.1
2006,EAV-030203-G,Organometallic wood preservatives,,,
2006,EAV-030204-G,Inorganic wood preservatives,4.0,0.0,0.0
2006,EAV-030205-G,Other wood preservatives containing dangerous substances,6.0,0.1,0.1
2006,EAV-04,"Waste from the leather, fur and textile industries",18.0,0.3,0.3
2006,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,,
2006,EAV-040214-G,Waste from the finish with organ. solvent,6.0,0.2,0.2
2006,EAV-040216-G,Dyes and pigments with hazardous substances,4.0,0.0,0.0
2006,EAV-040219-G,Textile industry: sludge (own waste water treatment),7.0,0.1,0.1
2006,EAV-05,"Waste from petroleum refining, natural gas purification",193.0,158.8,157.2
2006,EAV-050102-G,Petroleum refining: desalination sludges,,,
2006,EAV-050103-G,Petroleum refining: bottom sludge from tanks,61.0,16.7,15.8
2006,EAV-050104-G,Petroleum Refining: Acid Alkyl Sludges,,,
2006,EAV-050105-G,Petroleum Refining: Oil Spills,,,
2006,EAV-050106-G,Petroleum refining: oil holding sludge a.,62.0,12.1,11.7
2006,EAV-050107-G,Petroleum refining: acid tars,,,
2006,EAV-050108-G,Petroleum refining: Other teas,7.0,0.3,0.3
2006,EAV-050109-G,Petroleum refinery: sludge (in-house waste water treatment),8.0,14.3,14.3
2006,EAV-050111-G,Petroleum refinery: Waste from fuel purification. with bases,,,
2006,EAV-050112-G,Petroleum refining: Acidic oils,,,
2006,EAV-050115-G,Petroleum Refining: Used filter clays,17.0,2.1,2.0
2006,EAV-050601-G,Coal pyrolysis: acid tars,,,
