Year,Industry Code,Industry,EAV Code,Waste Description,Waste Quantities Produced by Primary Producers,Unknown Value 1,Metric Tons,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-01,Waste from the extraction of mineral resources,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-02,"Waste from agriculture, forestry etc.",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-03,"Waste from woodworking, among others,",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-04,"Waste from the leather, fur and textile industry",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-05,"Waste from oil refinement, natural gas cleaning",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-06,Waste from inorganic-chemical processes,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-07,Waste from organic-chemical processes,6,0,2,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-08,"Waste from HZVA V. coatings, adhesives, etc.",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-09,Waste from the photographic industry,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-10,Waste from thermal processes,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-11,Waste from chemical surface processing,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-12,Waste from processes of the mechanical design,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-13,Oil waste and waste from liquid fuels,8,0,3,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-14,"Waste from organic solvents, coolants",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-15,"Packaging drop, upright masses, wipes",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-16,"Waste, not listed elsewhere in the directory",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-17,Construction and demolition waste,123,5,3,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-18,Waste from medical care,,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-19,"Waste from waste treatment plants, etc.",,,,,,
2008,WZ08-A,"Agriculture and forestry, fishing",EAV-20,"Settlement waste (budget waste, etc. Waste)",,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-01,Waste from the extraction of mineral resources,12,130,3,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-02,"Waste from agriculture, forestry etc.",,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-03,"Waste from woodworking, among others,",,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-04,"Waste from the leather, fur and textile industry",,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-05,"Waste from oil refinement, natural gas cleaning",12,0,5,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-06,Waste from inorganic-chemical processes,10,0,3,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-07,Waste from organic-chemical processes,5,0,0,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-08,"Waste from HZVA V. coatings, adhesives, etc.",10,0,2,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-09,Waste from the photographic industry,,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-10,Waste from thermal processes,,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-11,Waste from chemical surface processing,,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-12,Waste from processes of the mechanical design,17,1,5,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-13,Oil waste and waste from liquid fuels,46,5,5,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-14,"Waste from organic solvents, coolants",,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-15,"Packaging drop, upright masses, wipes",48,0,8,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-16,"Waste, not listed elsewhere in the directory",17,0,8,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-17,Construction and demolition waste,165,182,2,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-18,Waste from medical care,,,,,,
2008,WZ08-B,Mining and extraction of stones and earth,EAV-19,"Waste from waste treatment plants, etc.",10,28,5,,,
