Year,Industry Code,Industry,Waste Quantities Produced by Primary Producers,Unknown Value 1,Metric Tons (1000)
2008,WZ08-A,"Agriculture and forestry, fishing",140,6,3
2008,WZ08-B,Mining and extraction of stones and earth,225,350,9
2008,WZ08-C,Processing business,8821,4246,0
2008,WZ08-10-01,Food and tobacco processing industry.,164,20,9
2008,WZ08-13-02,"Textiles, clothing, leather and leather goods",82,9,5
2008,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",222,31,2
2008,WZ08-17-01,"Production of paper, cardboard, and printed materials,",366,38,3
2008,WZ08-19,Petroleum Processing,82,228,5
2008,WZ08-20,Production of chemical products,1003,1021,2
2008,WZ08-21,Production of pharmaceutical products,132,155,8
2008,WZ08-22,Production of rubber and plastic goods,536,86,8
2008,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",369,228,2
2008,WZ08-24,Metal generation and processing,638,1198,5
2008,WZ08-25,Production of metal products,2175,324,8
2008,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,673,183,8
2008,WZ08-28,mechanical engineering,1306,271,8
2008,WZ08-29-01,vehicle construction,630,359,8
2008,WZ08-31-02,Production of furniture and other goods,266,15,0
2008,WZ08-33,Repair and installation of machinery and equipment.,177,72,0
2008,WZ08-D,power supply,740,794,9
2008,WZ08-E,"Water supply, waste disposal, and environmental pollution control.",3645,4591,5
2008,WZ08-38,"Collection, waste disposal, recovery",3009,3860,6
2008,WZ08-F,construction industry,3738,1339,1
2008,WZ08-G,"Trade, maintenance and repair of car",2610,798,2
2008,WZ08-H,Transportation and storage,1212,1099,5
2008,WZ08-I,Hospitality,47,48,3
2008,WZ08-J,information and communication,121,62,2
2008,WZ08-K,Provision of financial and insurance benefits,63,16,1
2008,WZ08-L-01,"Real estate, housing, freelance, scientific, technical, and economic services.",1638,1150,3
2008,WZ08-O,"Public Administration, defense, social insurance",2369,2226,6
2008,WZ08-P,Education and lessons,113,9,4
2008,WZ08-Q,Health and social affairs,295,75,1
2008,WZ08-R-03,"Art, entertainment and relaxation, other DL",290,139,1
2008,WZ-X006,Remaining branches,182,415,8
2009,WZ08-A,"Agriculture and forestry, fishing",156,12,2
2009,WZ08-B,Mining and extraction of stones and earth,223,247,9
2009,WZ08-C,Processing business,8621,3578,0
2009,WZ08-10-01,Food and tobacco processing industry.,159,14,7
2009,WZ08-13-02,"Textiles, clothing, leather and leather goods",69,5,9
2009,WZ08-16,"Manufacturing of wood, wicker, basket, and cork products (excluding furniture).",213,32,4
2009,WZ08-17-01,"Production of paper, cardboard, and printed materials,",363,41,6
2009,WZ08-19,Petroleum Processing,81,304,2
2009,WZ08-20,Production of chemical products,964,1008,9
2009,WZ08-21,Production of pharmaceutical products,128,145,3
2009,WZ08-22,Production of rubber and plastic goods,535,71,5
2009,WZ08-23,"Manufacturing of glassware, ceramics, and processing of stones and earth materials.",374,163,4
2009,WZ08-24,Metal generation and processing,617,888,3
2009,WZ08-25,Production of metal products,2103,249,8
2009,WZ08-26-01,Manufacturing of data processing equipment and electrical devices.,634,122,2
2009,WZ08-28,mechanical engineering,1306,205,4
2009,WZ08-29-01,vehicle construction,610,266,4
2009,WZ08-31-02,Production of furniture and other goods,269,16,8
2009,WZ08-33,Repair and installation of machinery and equipment.,196,41,5
