GENESIS-Tabelle: 32111-0010
Abfallentsorgung: Bundesländer, Jahre;;;;;;
Erhebung der Abfallentsorgung;;;;;;
;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall
;;Anzahl;1000 t;1000 t;1000 t;1000 t
2018;Baden-Württemberg;1649;55746,4;1440,5;53144,3;1161,7
2018;Bayern;3777;71053,4;4554,3;66175,3;323,8
2018;Berlin;130;5164,9;206,1;4877,5;81,3
2018;Brandenburg;532;18289,7;789,5;17093,0;407,2
2018;Bremen;56;2791,0;130,7;2517,0;143,4
2018;Hamburg;91;4714,3;671,1;3957,5;85,7
2018;Hessen;793;37893,2;16215,1;21498,8;179,3
2018;Mecklenburg-Vorpommern;309;8346,6;529,0;7705,8;111,9
2018;Niedersachsen;1364;34563,0;3289,2;29789,1;1484,7
2018;Nordrhein-Westfalen;2206;84658,4;11129,9;71145,6;2383,0
2018;Rheinland-Pfalz;739;19437,9;2094,2;17065,3;278,4
2018;Saarland;268;4990,7;513,5;4029,6;447,6
2018;Sachsen;716;19544,3;406,6;18703,1;434,7
2018;Sachsen-Anhalt;593;29306,4;10430,6;18504,7;371,0
2018;Schleswig-Holstein;454;11217,0;395,4;10677,9;143,7
2018;Thüringen;519;13673,7;1242,2;12258,6;172,8
2019;Baden-Württemberg;1633;55847,3;1414,0;53120,0;1313,3
2019;Bayern;3645;71252,8;4084,1;66863,7;305,1
2019;Berlin;127;5267,7;194,5;5015,7;57,5
2019;Brandenburg;520;18083,3;738,1;17018,3;326,9
2019;Bremen;56;2724,6;117,5;2464,0;143,1
2019;Hamburg;94;5778,9;1682,1;3996,1;100,7
2019;Hessen;778;39683,2;17123,2;22385,5;174,4
2019;Mecklenburg-Vorpommern;293;7698,5;562,5;7036,9;99,1
2019;Niedersachsen;1325;34563,6;2429,5;30789,0;1345,1
2019;Nordrhein-Westfalen;2137;83401,4;8913,1;72122,4;2365,9
2019;Rheinland-Pfalz;731;18853,4;1518,0;17095,9;239,5
2019;Saarland;259;4661,6;523,3;3776,5;361,8
2019;Sachsen;711;18954,1;302,7;18246,6;404,9
2019;Sachsen-Anhalt;594;30143,5;9887,5;19927,9;328,1
2019;Schleswig-Holstein;456;10825,1;344,1;10333,2;147,8
2019;Thüringen;517;12518,9;426,7;11907,2;185,0
2020;Baden-Württemberg;1694;56041,7;1302,9;53554,3;1184,5
2020;Bayern;3512;67750,6;3543,8;63870,0;336,8
2020;Berlin;122;7780,0;209,5;7516,5;54,0
2020;Brandenburg;521;17869,6;784,8;16812,9;271,9
2020;Bremen;64;2823,8;108,9;2610,0;105,0
2020;Hamburg;91;5828,4;1893,8;3835,5;99,1
2020;Hessen;778;37952,9;17021,1;20747,2;184,6
2020;Mecklenburg-Vorpommern;292;8487,9;464,9;7934,3;88,7
2020;Niedersachsen;1327;33421,0;2233,6;29888,2;1299,2
2020;Nordrhein-Westfalen;2097;85584,3;8186,1;74972,3;2425,9
2020;Rheinland-Pfalz;716;17908,1;1438,3;16203,7;266,1
2020;Saarland;245;4138,2;254,9;3594,5;288,9
2020;Sachsen;722;17891,4;269,1;17306,8;315,4
2020;Sachsen-Anhalt;598;31584,3;10993,9;20314,2;276,3
2020;Schleswig-Holstein;454;9634,0;470,3;9052,6;111,0
2020;Thüringen;511;12397,1;365,8;11825,4;206,0
2021;Baden-Württemberg;1701;55047,2;968,2;52825,4;1253,6
2021;Bayern;3446;64921,5;2934,3;61614,3;373,0
2021;Berlin;121;7685,3;195,1;7428,4;61,8
2021;Brandenburg;564;18324,0;1557,5;16361,9;404,6
2021;Bremen;66;2821,5;94,4;2641,2;85,8
2021;Hamburg;93;5777,6;1862,6;3812,5;102,6
2021;Hessen;772;39812,9;17562,4;22076,8;173,7
2021;Mecklenburg-Vorpommern;293;8497,6;409,2;8004,5;84,0
2021;Niedersachsen;1320;33437,6;2226,1;30016,5;1195,0
2021;Nordrhein-Westfalen;2075;85179,5;8767,3;73882,9;2529,3
2021;Rheinland-Pfalz;710;17991,8;1479,8;16229,4;282,5
2021;Saarland;247;4227,0;428,5;3432,4;366,1
2021;Sachsen;722;17812,5;249,6;17262,8;300,0
2021;Sachsen-Anhalt;584;31602,7;11223,7;20120,4;258,6
2021;Schleswig-Holstein;444;9627,8;582,5;8944,7;100,6
2021;Thüringen;502;11974,3;311,7;11456,4;206,2
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 19:56:27
