Statistics_Code,Statistics_Label,time_code,time_label,Time,1_feature_code,1_feature_label,1_expression_code,1_expression_label,Waste_Disposal_Plants,Input_from_waste_disposal_plants,Waste_generated_in_own_operation,Waste_delivered_from_the_country,Waste_delivered_from_abroad
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,8,Baden-Wuerttemberg,1701,55047.2,968.2,52825.4,1253.6
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,9,Bayern,3446,64921.5,2934.3,61614.3,373.0
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,11,Berlin,121,7685.3,195.1,7428.4,61.8
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,12,Brandenburg,564,18324.0,1557.5,16361.9,404.6
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,4,Bremen,66,2821.5,94.4,2641.2,85.8
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,2,Hamburg,93,5777.6,1862.6,3812.5,102.6
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,6,Hesse,772,39812.9,17562.4,22076.8,173.7
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,13,Mecklenburg-Vorpommern,293,8497.6,409.2,8004.5,84.0
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,3,Lower Saxony,1320,33437.6,2226.1,30016.5,1195.0
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,5,North Rhine-Westphalia,2075,85179.5,8767.3,73882.9,2529.3
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,7,Rhineland-Palatinate,710,17991.8,1479.8,16229.4,282.5
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,10,Saarland,247,4227.0,428.5,3432.4,366.1
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,14,Saxony,722,17812.5,249.6,17262.8,300.0
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,15,Saxony-Anhalt,584,31602.7,11223.7,20120.4,258.6
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,1,Schleswig-Holstein,444,9627.8,582.5,8944.7,100.6
32111,Collection of waste disposal,JAHR,Jahr,2021,DLAND,Federal states,16,Thuringia,502,11974.3,311.7,11456.4,206.2
