Statistics_Code,Statistics_Label,time_code,time_label,Time,1_feature_code,1_feature_label,1_expression_code,1_expression_label,2_feature_code,2_Feature_Label,2_expression_code,2_expression_label,Amount_of_household_waste,Generation_of_household_waste_per_inhabitant
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,8.0,Baden-Wuerttemberg,ABFAT1,Types of waste,EAV-20030101-01,Household and bulky waste,1601.4,144
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,8.0,Baden-Wuerttemberg,ABFAT1,Types of waste,ABF-ORG-01,Separately collected organic waste,1679.1,151
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,8.0,Baden-Wuerttemberg,ABFAT1,Types of waste,ABF-WERT-01,Recyclable materials collected separately,1799.1,162
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,8.0,Baden-Wuerttemberg,ABFAT1,Types of waste,EAV-200123-01,Waste electrical appliances,.,.
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,8.0,Baden-Wuerttemberg,ABFAT1,Types of waste,EAV-SONST,Other waste,9.7,1
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,9.0,Bayern,ABFAT1,Types of waste,EAV-20030101-01,Household and bulky waste,2264.6,172
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,9.0,Bayern,ABFAT1,Types of waste,ABF-ORG-01,Separately collected organic waste,2109.0,160
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,9.0,Bayern,ABFAT1,Types of waste,ABF-WERT-01,Separately collected recyclables,2118.9,161
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,9.0,Bayern,ABFAT1,Types of waste,EAV-200123-01,Waste electrical appliances,.,.
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,9.0,Bayern,ABFAT1,Types of waste,EAV-SONST,Other waste,68.1,5
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,11.0,Berlin,ABFAT1,Types of waste,EAV-20030101-01,Household and bulky waste,878.8,239
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,11.0,Berlin,ABFAT1,Types of waste,ABF-ORG-01,Separately collected organic waste,139.4,38
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,11.0,Berlin,ABFAT1,Types of waste,ABF-WERT-01,Separately collected recyclables,387.5,105
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,11.0,Berlin,ABFAT1,Types of waste,EAV-200123-01,Waste electrical appliances,.,.
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,11.0,Berlin,ABFAT1,Types of waste,EAV-SONST,Other waste,1.2,0
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,12.0,Brandenburg,ABFAT1,Types of waste,EAV-20030101-01,Household and bulky waste,555.7,219
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,12.0,Brandenburg,ABFAT1,Types of waste,ABF-ORG-01,Separately collected organic waste,242.8,96
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,12.0,Brandenburg,ABFAT1,Types of waste,ABF-WERT-01,Recyclable materials collected separately,364.8,144
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,12.0,Brandenburg,ABFAT1,Types of waste,EAV-200123-01,Waste electrical appliances,.,.
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,12.0,Brandenburg,ABFAT1,Types of waste,EAV-SONST,Other waste,10.0,4
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,4.0,Bremen,ABFAT1,Types of waste,EAV-20030101-01,Household and bulky waste,158.7,235
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,4.0,Bremen,ABFAT1,Types of waste,ABF-ORG-01,Separately collected organic waste,59.4,88
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,4.0,Bremen,ABFAT1,Types of waste,ABF-WERT-01,Recyclable materials collected separately,80.8,119
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,4.0,Bremen,ABFAT1,Types of waste,EAV-200123-01,Waste electrical appliances,.,.
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,4.0,Bremen,ABFAT1,Types of waste,EAV-SONST,Other waste,0.2,0
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,2.0,Hamburg,ABFAT1,Types of waste,EAV-20030101-01,Household and bulky waste,473.5,255
32121,Survey of the public Waste disposal,JAHR,Jahr,2021,DLAND,Federal states,2.0,Hamburg,ABFAT1,Types of waste,ABF-ORG-01,Separately collected organic waste,103.6,56
