GENESIS table: 32141-0002
Rubble processing plants: Germany, years,;;;;;;
types of waste;;;;;;
Processing, utilization of construction and demolition waste;;;;;;
Germany;;;;;;
;;;Building waste processing plants;Input from building rubble processing plants;Building waste processing plants with output;Output from building rubble processing plants
;;;number;1000 t;number;1000 t
2006;EAV-01;Wastes from the extraction of mineral resources;-;-;-;-
2006;EAV-010413-U; Waste from stonemasonry and sawing work (without 010407);-;-;-;-
2006;EAV-02;Waste from agriculture, forestry, etc.;-;-;-;-
2006;EAV-020401-U; Sugar production: beet soil;-;-;-;-
2006;EAV-03;waste from wood processing, etc.;-;-;-;-
2006;EAV-030310-U; Fiber waste, fiber, filler and coating sludge;-;-;-;-
2006;EAV-05;Waste from petroleum refining, natural gas purification;-;-;-;-
2006;EAV-050117-U; Petroleum refining: bitumen;-;-;-;-
2006;EAV-06;Waste from inorganic chemical processes;-;-;-;-
2006;EAV-060899-U; silicon, silicon compounds: waste not otherwise specified;-;-;-;-
2006;EAV-10;waste from thermal processes;34;483.4;-;-
2006;EAV-100101-U; rust and Boiler ash, slag, boiler st.(oh.100104);3;27.6;-;-
2006;EAV-100117-U; fly ash from waste co-incineration (oh.100116);-;-;-;-
2006;EAV-100201-U; Iron, steel ind.: waste from slag processing;4;139.1;-;-
2006;EAV-100202-U; Iron, steel ind.: unprocessed slag;6;24.5;-;-
2006;EAV-100501-U; Zinc metallurgy: slags (first and second smelting);-;-;-;-
2006;EAV-100503-G; zinc metallurgy: filter dust;-;-;-;-
2006;EAV-100903-U; Iron,steel: furnace slag;11;128.9;-;-
2006;EAV-100906-U; Casting molds and sand before casting (oh.100905);-;-;-;-
2006;EAV-100908-U; Casting molds and sands after casting (without 100907);5;136.5;-;-
2006;EAV-101008-U; Casting molds and sands after casting (oh. 101007);-;-;-;-
2006;EAV-101112-U; Glass waste (without 101111);-;-;-;-
2006;EAV-101201-U; Ceramic products: raw mixtures before firing;-;-;-;-
2006;EAV-101203-U; Ceramic products: particles and dust;-;-;-;-
2006;EAV-101208-U; Waste from ceramic products, bricks, etc.;4;0.2;-;-
2006;EAV-101210-U; Solid waste from flue gas treatment (excluding 101209);-;-;-;-
2006;EAV-101304-U; Waste from calcination, hydration from quicklime;-;-;-;-
2006;EAV-101311-U; Composite waste (excl. 101309, 101310);4;6.5;-;-
2006;EAV-101314-U; Concrete waste and concrete sludge;3;12.2;-;-
2006;EAV-12;Waste from mechanical shaping processes;4;4.9;-;-
2006;EAV-120101-U; Iron filings and turnings;-;-;-;-
2006;EAV-120103-U; Non-ferrous metal filings and turnings;-;-;-;-
2006;EAV-120105-U; Plastic shavings and turnings;-;-;-;-
2006;EAV-120117-U; Abrasive waste (without 120116);3;1.9;-;-
2006;EAV-13;Oil waste and liquid fuel waste;-;-;3;0.0
2006;EAV-130205-G; Non-chlorinated machine, gear and Lubricating oils;-;-;-;-
2006;EAV-130208-G; Other machine, gear and lubricating oils;-;-;-;-
2006;EAV-130501-G; Solid waste from sand traps and oil/water separator;-;-;-;-
2006;EAV-15;Packaging waste, absorbent masses, wipes;6;9.8;8;1.6
2006;EAV-150101-U; Paper and cardboard packaging;3;1.0;3;0.7
2006;EAV-150102-U; Plastic packaging;-;-;-;-
2006;EAV-150103-U; Wooden packaging;-;-;-;-
2006;EAV-15010600-U; Mixed packs not differentiable;5;8.3;5;0.9
2006;EAV-150107-U; Glass packaging;-;-;-;-
2006;EAV-150202-G; Absorbent and filter materials, wipes;-;-;-;-
2006;EAV-150203-U; Absorption and filter materials (without 150202);-;-;-;-
2006;EWC-16;Wastes not included elsewhere in the inventory;11;40.1;5;0.2
2006;EAV-160103-U; Used tires;-;-;5;0.2
2006;EAV-160119-U; Old vehicles: plastics;-;-;-;-
2006;EAV-161104-U; Refractory mat. from metallurg. percent (oh.161103);8;36.7;-;-
2006;EAV-161106-U; Refractory material a. non-metallurgical proc.(oh.161105);6;3.3;-;-
2006;EAV-17;Construction and demolition waste;2034;59293.5;80;685.8
2006;EAV-170101-U; Concrete;1509;21012.5;21;217.9
2006;EAV-170102-U; Brick;968;5792.0;13;100.0
2006;EAV-170103-U; Tiles and ceramics;466;1243.5;4;49.1
2006;EAV-170106-G; Mixtures from o. separate fractions v. Concrete, etc.;6;18.8;-;-
2006;EAV-170107-U; Mixtures of concrete, bricks, etc. (oh.170106);961;13828.0;11;126.9
2006;EAV-170201-U; Wood;34;51.9;10;5.6
2006;EAV-170202-U; Glass;11;17.7;-;-
2006;EAV-170203-U; Plastic;7;2.4;-;-
2006;EAV-170204-G; Glass, plastic and wood with hazardous substances;13;7.0;5;10.3
2006;EAV-170301-G; Bituminous mixtures containing coal tar;42;530.7;4;5.2
2006;EAV-170302-U; Bitumen mixtures (without 170301);1008;7912.6;7;4.2
2006;EAV-170303-G; Coal tar and tarry products;12;107.0;8;1.0
2006;EAV-170402-U; Aluminum;-;-;-;-
2006;EAV-170403-U; Lead;-;-;-;-
2006;EAV-170405-U; Iron and Steel;9;0.9;8;1.0
2006;EAV-170407-U; Mixed metals;4;0.5;-;-
2006;EAV-170411-U; Cable (without 170410);-;-;-;-
2006;EAV-170503-G; Soil and stones containing dangerous substances;4;16.5;-;-
2006;EAV-170504-U; soil and stones (without 170503);680;7250.4;16;100.9
2006;EAV-170506-U; dredged material (without 170505);4;36.5;-;-
2006;EAV-170507-G; Track ballast containing dangerous substances;8;85.4;-;-
2006;EAV-170508-U; Track ballast (without 170507);49;916.8;-;-
2006;EAV-170601-G; insulation material containing asbestos;-;-;-;-
2006;EAV-170603-G; Other insulation material;5;0.7;6;0.9
2006;EAV-170604-U; Insulation material (without 170601 and 170603);8;46.4;4;0.4
2006;EAV-170605-G; Building materials containing asbestos;10;0.3;10;0.4
2006;EAV-170802-U; Gypsum-based building materials (excluding 170801);46;17.3;5;4.4
2006;EAV-170903-G; Other construction and demolition waste;-;-;-;-
2006;EAV-170904-U; Mixed construction and demolition waste (oh.170901-170903);68;383.2;34;33.1
2006;EAV-19;Waste from waste treatment plants etc.;31;476.0;2015;59601.1
2006;EAV-190111-G; Combustion, pyrolysis: grate, boiler ashes, slag;-;-;-;-
2006;EAV-190112-U; Bottom ash and slag (oh.190111);3;94.5;-;-
2006;EAV-190113-G; Combustion.,Pyrolysis: Filter dust with haz. St.;-;-;-;-
2006;EAV-190114-U; Filter dust (without 190113);-;-;-;-
2006;EAV-190118-U; Pyrolysis waste (without 190117);-;-;-;-
2006;EAV-19029950-U; Products resulting from waste treatment;-;-;7;502.0
2006;EAV-190503-U; Out of specification compost;-;-;-;-
2006;EAV-190801-U; Sieve and rake residue;-;-;-;-
2006;EAV-190802-U; Sand trap residues;-;-;-;-
2006;EAV-190903-U; decarbonization sludges;-;-;-;-
2006;EAV-19120100-U; Mechanical waste treatment: paper, cardboard not diff.;-;-;132;12.0
2006;EAV-191202-U; Mechanical waste treatment: ferrous metals;-;-;711;262.9
2006;EAV-191203-U; Mechanical waste treatment: non-ferrous metals;-;-;110;4.4
2006;EAV-191204-U; Mechanical waste treatment: plastic and rubber;-;-;208;18.3
2006;EAV-19120500-U; Mechanical waste treatment: Glass not differentiable;-;-;4;1.2
2006;EAV-19120505-U; Mechanical waste treatment: mixed glass;-;-;-;-
2006;EAV-191206-G; Mechanical waste treatment: wood with hazardous Substances;-;-;8;0.4
2006;EAV-191207-U; Wood (without 191206);3;0.4;368;122.8
2006;EAV-191208-U; Mechanical waste treatment: textiles;-;-;-;-
