GENESIS-Tabelle: 32161-0002
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;;;
Wirtschaftszweige, Abfallarten;;;;;;
Erhebung über die Abfallerzeugung;;;;;;
Deutschland;;;;;;
;;;;;Betriebe;Erzeugte Abfallmenge
;;;;;Anzahl;1000 t
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;24;16,4
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-07;Abfälle aus organisch-chemischen Prozessen;3;0,0
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-09;Abfälle aus der fotografischen Industrie;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-10;Abfälle aus thermischen Prozessen;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;18;0,2
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;5;0,0
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;43;13,4
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;16;0,3
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-17;Bau- und Abbruchabfälle;21;1,3
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);52;8,0
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-01-03;Land- und Forstwirtschaft, Fischerei;;Insgesamt;55;39,6
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;11;152,7
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;13;0,2
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;5;2,7
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;18;4,6
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-07;Abfälle aus organisch-chemischen Prozessen;19;0,9
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;20;1,8
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-09;Abfälle aus der fotografischen Industrie;9;0,0
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-10;Abfälle aus thermischen Prozessen;5;190,4
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;7;0,4
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;24;5,2
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;49;8,4
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;22;0,0
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;60;118,0
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;48;17,9
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-17;Bau- und Abbruchabfälle;46;822,4
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;19;186,3
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);63;57,8
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;EAV-99;Gefährliche Abfälle;-;-
2010;WZ08-05-02;Bergbau und Gewinnung von Steinen und Erden;;Insgesamt;64;1569,7
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;1031;5536,7
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;13;0,4
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;3;0,5
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;15;0,0
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;74;4,8
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-07;Abfälle aus organisch-chemischen Prozessen;121;17,2
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;134;0,1
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-09;Abfälle aus der fotografischen Industrie;5;0,0
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-10;Abfälle aus thermischen Prozessen;46;42,7
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;13;0,0
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;91;2,4
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;519;6,9
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;141;0,2
2010;WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;1240;527,8
