GENESIS-Tabelle: 32161-0004
Betriebe, erzeugte Abfallmenge: Bundesländer, Jahre;;;
Erhebung über die Abfallerzeugung;;;
;;Betriebe;Erzeugte Abfallmenge
;;Anzahl;1000 t
2010;Baden-Württemberg;3471;7251,4
2010;Bayern;3280;8768,5
2010;Berlin;474;1682,6
2010;Brandenburg;429;2765,1
2010;Bremen;139;358,1
2010;Hamburg;303;839,8
2010;Hessen;1279;3401,1
2010;Mecklenburg-Vorpommern;278;602,8
2010;Niedersachsen;1621;7487,3
2010;Nordrhein-Westfalen;4431;18283,3
2010;Rheinland-Pfalz;912;3667,6
2010;Saarland;213;1493,8
2010;Sachsen;1015;3908,9
2010;Sachsen-Anhalt;559;1780,8
2010;Schleswig-Holstein;456;686,2
2010;Thüringen;722;2351,6
2014;Baden-Württemberg;3316;6122,4
2014;Bayern;3418;8163,8
2014;Berlin;461;900,4
2014;Brandenburg;469;5828,6
2014;Bremen;143;505,8
2014;Hamburg;346;1188,2
2014;Hessen;1323;3093,8
2014;Mecklenburg-Vorpommern;273;702,6
2014;Niedersachsen;1796;7097,5
2014;Nordrhein-Westfalen;4459;18973,7
2014;Rheinland-Pfalz;870;3451,4
2014;Saarland;209;1952,8
2014;Sachsen;1009;3861,6
2014;Sachsen-Anhalt;567;2240,4
2014;Schleswig-Holstein;497;662,8
2014;Thüringen;721;3125,7
2018;Baden-Württemberg;3226;6037,9
2018;Bayern;3269;10398,9
2018;Berlin;482;522,9
2018;Brandenburg;496;6253,6
2018;Bremen;148;541,7
2018;Hamburg;361;545,8
2018;Hessen;1304;3547,6
2018;Mecklenburg-Vorpommern;289;828,1
2018;Niedersachsen;1795;7201,6
2018;Nordrhein-Westfalen;4400;15941,2
2018;Rheinland-Pfalz;858;3395,2
2018;Saarland;215;1514,9
2018;Sachsen;1212;5058,9
2018;Sachsen-Anhalt;601;2669,0
2018;Schleswig-Holstein;542;614,9
2018;Thüringen;747;2844,2
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:13:46
