GENESIS-Tabelle: 32161-0001
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;
Abfallarten;;;;
Erhebung über die Abfallerzeugung;;;;
Deutschland;;;;
;;;Betriebe;Erzeugte Abfallmenge
;;;Anzahl;1000 t
2010;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;;
2010;EAV-010101-U;  Abfälle aus Abbau v. metallhaltigen Bodenschätzen;3;1,7
2010;EAV-010102-U;  Abfälle aus Abbau v. nichtmetallh. Bodenschätzen;3;13,7
2010;EAV-010304-G;  Säure bildende Aufbereitungsrückstände a. sul. Erz;-;-
2010;EAV-010305-G;  Andere Aufbereitungsrückstände mit gefährl.Stoffen;-;-
2010;EAV-010306-U;  Aufbereitungsrückstände (ohne 010304 und 010305);-;-
2010;EAV-010307-G;  Abfälle aus Verarb. metallhaltiger Bodenschätze;-;-
2010;EAV-010308-U;  Staubende und pulvrige Abfälle (ohne 010307);-;-
2010;EAV-010309-U;  Rotschlamm aus Aluminiumoxidherstellung(oh.010310);-;-
2010;EAV-010399-U;  Verarb. von metallh. Bodenschätzen: Abfälle a.n.g.;-;-
2010;EAV-010407-G;  Abfälle a.Weiterverarb. nichtmetallh. Bodenschätze;3;1,0
2010;EAV-010408-U;  Abfälle von Kies- und Gesteinsbruch (ohne 010407);16;140,4
2010;EAV-010409-U;  Abfälle von Sand und Ton;15;15,9
2010;EAV-010410-U;  Staubende und pulvrige Abfälle (ohne 010407);18;41,4
2010;EAV-010411-U;  Abfälle aus Verarb. v.Kali-u.Steinsalz (oh.010407);6;10,9
2010;EAV-010412-U;  Aufbereitungsrück. u.a. Abfälle (oh.010407,010411);-;-
2010;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);23;69,8
2010;EAV-010499-U;  Verarb. v. nichtmetallh. Bodensch.: Abfälle a.n.g.;7;0,3
2010;EAV-010504-U;  Schlämme und Abfälle aus Süßwasserbohrungen;5;42,9
2010;EAV-010505-G;  Ölhaltige Bohrschlämme und -abfälle;8;72,2
2010;EAV-010506-G;  Bohrschlämme u.a. Bohrabfälle mit gefährl. Stoffen;3;3,1
2010;EAV-010507-U;  Barythaltige Bohrschlä.,-abfälle(oh.010505,010506);-;-
2010;EAV-010508-U;  Chloridhalt. Bohrschlä.,-abfälle(oh.010505,010506);7;15,4
2010;EAV-010599-U;  Bohrschlämme u. andere Bohrabfälle: Abfälle a.n.g.;-;-
2010;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;;
2010;EAV-020101-U;  Landwirtsch.u.a.:Schlämme v.Wasch-,Reinigungsvorg.;15;16,8
2010;EAV-020102-U;  Landwirtsch.u.a.: Abfälle aus tierischem Gewebe;25;64,6
2010;EAV-020103-U;  Landwirtsch.u.a.: Abfälle aus pflanzlichem Gewebe;88;216,7
2010;EAV-020104-U;  Landwirtsch.u.a.:Kunststoffabfälle (ohne Verpack.);49;147,7
2010;EAV-020106-U;  Tierische Ausscheidungen, Gülle/Jauche/Stallmist;61;70,8
2010;EAV-020107-U;  Abfälle aus der Forstwirtschaft;12;0,1
2010;EAV-020108-G;  Abfälle von Chemikalien für die Landwirtschaft;25;1,7
2010;EAV-020109-U;  Abfälle v. Chemik. f. d. Landwirtschaft(oh.020108);5;0,6
2010;EAV-020110-U;  Landwirtschaft u.a.: Metallabfälle;30;1,2
2010;EAV-020199-U;  Landwirtschaft u.a.: Abfälle a.n.g.;14;1,2
2010;EAV-020201-U;  Fleisch u.a.:Schlämme v.Wasch-,Reinigungsvorgängen;55;29,7
2010;EAV-020202-U;  Fleisch u.a.: Abfälle aus tierischem Gewebe;217;450,0
2010;EAV-020203-U;  Fleisch u.a.: Für Verzehr/Verarb. ungeeig.Stoffe;293;429,5
2010;EAV-020204-U;  Fleisch u.a.: Schlämme(betriebseig.Abwasserbeh.);2174;543,4
2010;EAV-020299-U;  Verarb. von Fleisch, Fisch u.a.: Abfälle a.n.g.;60;143,1
2010;EAV-020301-U;  Obst u.a.:Schlämme aus Wasch-,Reinigungsproz. u.a.;50;92,0
2010;EAV-020302-U;  Obst u.a.: Abfälle von Konservierungsstoffen;-;-
2010;EAV-020303-U;  Obst u.a.: Abfälle aus Extraktion mit Lösemitteln;6;1,0
2010;EAV-020304-U;  Obst u.a.: Für Verzehr/Verarb. ungeeignete Stoffe;346;321,0
2010;EAV-020305-U;  Obst u.a.: Schlämme (betriebseig. Abwasserbeh.);63;129,7
2010;EAV-020399-U;  Verarbeitung von Obst, Gemüse u.a.: Abfälle a.n.g.;41;83,1
2010;EAV-020401-U;  Zuckerherstellung: Rübenerde;16;1274,8
2010;EAV-020402-U;  Zuckerherst.: Nicht spezif. Calciumcarbonatschlamm;4;204,1
2010;EAV-020403-U;  Zuckerherst.: Schlämme (betriebseig.Abwasserbeh.);-;-
2010;EAV-020499-U;  Zuckerherstellung: Abfälle a.n.g.;-;-
2010;EAV-020501-U;  Milchverarbeitung: Für Verzehr/Verarb. ungeeig.St.;79;47,4
2010;EAV-020502-U;  Milchverarb.: Schlämme (betriebseig. Abwasserbeh.);35;86,9
2010;EAV-020599-U;  Milchverarbeitung: Abfälle a.n.g.;6;0,4
2010;EAV-020601-U;  Back-,Süßwaren: Für Verzehr/Verarb. ungeeig. St.;231;141,4
2010;EAV-020602-U;  Back-,Süßwaren: Abfälle von Konservierungsstoffen;-;-
2010;EAV-020603-U;  Back-,Süßwaren: Schlämme(betriebseig.Abwasserbeh.);66;27,9
2010;EAV-020699-U;  Herstellung von Back- und Süßwaren: Abfälle a.n.g.;45;21,2
2010;EAV-020701-U;  Getränke: Abfälle aus der Wäsche, Reinigung u.a.;39;58,7
2010;EAV-020702-U;  Getränke: Abfälle aus der Alkoholdestillation;9;189,9
2010;EAV-020703-U;  Getränke: Abfälle aus der chemischen Behandlung;-;-
2010;EAV-020704-U;  Getränke: Für Verzehr/Verarb. ungeeignete Stoffe;63;590,0
2010;EAV-020705-U;  Getränke: Schlämme (betriebseigene Abwasserbeh.);44;59,6
2010;EAV-020799-U;  Herstellung von Getränken: Abfälle a.n.g.;32;503,2
2010;EAV-03;Abfälle aus der Holzbearbeitung u.a.;;
2010;EAV-030101-U;  Holzbearbeitung u.a.: Rinden- und Korkabfälle;44;678,9
2010;EAV-030104-G;  Sägemehl, Späne, Abschnitte, Holz, Spanplatten;57;22,3
2010;EAV-030105-U;  Sägemehl,Späne,Abschnitte,Holz,Spanpl. (oh.030104);856;2896,0
2010;EAV-030199-U;  Holzbearbeitung u.a.: Abfälle a.n.g.;40;8,5
2010;EAV-030201-G;  Halogenfreie organische Holzschutzmittel;4;0,9
2010;EAV-030202-G;  Chlororganische Holzschutzmittel;-;-
2010;EAV-030203-G;  Metallorganische Holzschutzmittel;-;-
2010;EAV-030204-G;  Anorganische Holzschutzmittel;-;-
2010;EAV-030205-G;  Andere Holzschutzmittel mit gefährlichen Stoffen;6;0,0
2010;EAV-030299-U;  Holzschutzmittel a.n.g.;5;0,0
2010;EAV-030301-U;  Papierherstellung u.a.: Rinden- und Holzabfälle;39;291,0
2010;EAV-030302-U;  Sulfitschlämme (aus Rückgewinnung von Kochlaugen);-;-
2010;EAV-030305-U;  Deinking-Schlämme aus dem Papierrecycling;13;1027,7
2010;EAV-030307-U;  Mechanisch abgetrennte Abfälle (Papierabfälle);110;792,3
2010;EAV-030308-U;  Abfälle aus Sortierung v. Papier für Recycling;349;748,5
2010;EAV-030309-U;  Kalkschlammabfälle;9;13,6
2010;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;135;1785,9
2010;EAV-030311-U;  Schlämme a. betriebs.Abwasserbehandlung(oh.030310);39;164,4
2010;EAV-030399-U;  Papierherstellung u.a.: Abfälle a.n.g.;38;798,2
2010;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;;
2010;EAV-040101-U;  Fleischabschabungen und Häuteabfälle;3;0,0
2010;EAV-040102-U;  Geäschertes Leimleder;6;20,2
2010;EAV-040103-G;  Entfettungsabfälle, lösemittelh.,oh.flüssige Phase;-;-
2010;EAV-040104-U;  Chromhaltige Gerbereibrühe;-;-
2010;EAV-040105-U;  Chromfreie Gerbereibrühe;-;-
2010;EAV-040106-U;  Chromhaltige Schlämme;11;20,3
2010;EAV-040107-U;  Chromfreie Schlämme;-;-
2010;EAV-040108-U;  Chromhaltige Abfälle aus gegerbtem Leder;38;6,2
2010;EAV-040109-U;  Abfälle aus der Zurichtung und dem Finish;15;0,3
2010;EAV-040199-U;  Leder- und Pelzindustrie: Abfälle a.n.g.;14;1,7
2010;EAV-040209-U;  Abfälle aus Verbundmaterialien (Elastomer u.a.);107;41,6
2010;EAV-040210-U;  Organische Stoffe aus Naturstoffen (z.B. Fette);10;3,8
2010;EAV-040214-G;  Abfälle aus dem Finish mit organ. Lösungsmittel;7;0,0
2010;EAV-040215-U;  Abfälle aus dem Finish (ohne 040214);11;0,6
2010;EAV-040216-G;  Farbstoffe und Pigmente mit gefährlichen Stoffen;4;0,0
2010;EAV-040217-U;  Farbstoffe und Pigmente (ohne 040216);10;0,5
2010;EAV-040219-G;  Textilindustrie:Schlämme(betriebseig.Abwasserbeh.);5;0,0
2010;EAV-040220-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.040219);25;2,2
2010;EAV-040221-U;  Abfälle aus unbehandelten Textilfasern;63;13,1
2010;EAV-040222-U;  Abfälle aus verarbeiteten Textilfasern;298;42,9
2010;EAV-040299-U;  Textilindustrie: Abfälle a.n.g.;26;2,2
2010;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;;
2010;EAV-050102-G;  Erdölraffination: Entsalzungsschlämme;-;-
2010;EAV-050103-G;  Erdölraffination: Bodenschlämme aus Tanks;56;13,5
2010;EAV-050104-G;  Erdölraffination: Saure Alkylschlämme;-;-
2010;EAV-050105-G;  Erdölraffination: Verschüttetes Öl;-;-
2010;EAV-050106-G;  Erdölraffination: Ölhalt.Schlämme a.Betriebsvorg.;41;13,3
2010;EAV-050107-G;  Erdölraffination: Säureteere;-;-
2010;EAV-050108-G;  Erdölraffination: Andere Teere;6;0,2
2010;EAV-050109-G;  Erdölraffin.: Schlämme (betriebseig.Abwasserbeh.);11;4,7
2010;EAV-050110-U;  Schlämme a. betriebseign. Abwasserbeh.(oh.050109);5;4,4
2010;EAV-050111-G;  Erdölraffin.: Abf. aus Brennstoffrein. mit Basen;-;-
2010;EAV-050112-G;  Erdölraffination: Säurehaltige Öle;-;-
2010;EAV-050113-U;  Erdölraff.: Schlämme aus Kesselspeisewasseraufber.;-;-
2010;EAV-050114-U;  Erdölraffination: Abfälle aus Kühlkolonnen;-;-
2010;EAV-050115-G;  Erdölraffination: Gebrauchte Filtertone;17;0,6
2010;EAV-050116-U;  Erdölraff.:Schwefelh. Abfälle aus Ölentschwefelung;8;0,3
2010;EAV-050117-U;  Erdölraffination: Bitumen;-;-
2010;EAV-050199-U;  Erdölraffination: Abfälle a.n.g.;-;-
2010;EAV-050601-G;  Kohlepyrolyse: Säureteere;-;-
2010;EAV-050603-G;  Kohlepyrolyse: Andere Teere;37;7,3
2010;EAV-050604-U;  Kohlepyrolyse: Abfälle aus Kühlkolonnen;-;-
2010;EAV-050699-U;  Kohlepyrolyse: Abfälle a.n.g.;3;0,0
2010;EAV-050701-G;  Erdgasreinigung,-transport: Quecksilberh. Abfälle;-;-
2010;EAV-050702-U;  Erdgasreinigung,-transport:Schwefelhaltige Abfälle;9;0,6
2010;EAV-050799-U;  Erdgasreinigung,-transport: Abfälle a.n.g.;-;-
2010;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;;
2010;EAV-060101-G;  Schwefelsäure und schweflige Säure;194;113,5
2010;EAV-060102-G;  Salzsäure;51;13,5
2010;EAV-060103-G;  Flusssäure;9;0,2
2010;EAV-060104-G;  Phosphorsäure und phosphorige Säure;30;0,5
2010;EAV-060105-G;  Salpetersäure und salpetrige Säure;35;1,5
2010;EAV-060106-G;  Andere Säuren;588;10,1
2010;EAV-060199-U;  Säuren: Abfälle a.n.g.;17;0,1
2010;EAV-060201-G;  Calciumhydroxid;13;0,6
2010;EAV-060203-G;  Ammoniumhydroxid;33;6,7
2010;EAV-060204-G;  Natrium- und Kaliumhydroxid;65;9,1
2010;EAV-060205-G;  Andere Basen;505;13,3
2010;EAV-060299-U;  Basen: Abfälle a.n.g.;16;2,3
2010;EAV-060311-G;  Feste Salze u. Lösungen, Cyanid enthaltend;21;0,7
2010;EAV-060313-G;  Feste Salze u. Lösungen, Schwermetalle enthaltend;115;6,4
2010;EAV-060314-U;  Feste Salze und Lösungen (ohne 060311 und 060313);233;157,0
2010;EAV-060315-G;  Metalloxide, die Schwermetalle enthalten;21;7,2
2010;EAV-060316-U;  Metalloxide (ohne 060315);49;37,5
2010;EAV-060399-U;  Salze, Salzlösungen, Metalloxide: Abfälle a.n.g.;7;0,2
2010;EAV-060403-G;  Arsenhaltige Abfälle;11;0,6
2010;EAV-060404-G;  Quecksilberhaltige Abfälle;579;4,9
2010;EAV-060405-G;  Abfälle, die andere Schwermetalle enthalten;76;43,0
2010;EAV-060499-U;  Metallhaltige Abfälle a.n.g.;5;0,1
2010;EAV-060502-G;  Schlämme aus betriebseigener Abwasserbehandlung;69;48,6
2010;EAV-060503-U;  Schlämme aus betriebseign. Abwasserbeh.(oh.060502);135;103,2
2010;EAV-060602-G;  Abfälle, die gefährliche Sulfide enthalten;6;0,2
2010;EAV-060603-U;  Sulfidhaltige Abfälle (ohne 060602);4;0,5
2010;EAV-060699-U;  Schwefelhaltige Chemikalien: Abfälle a.n.g.;-;-
2010;EAV-060701-G;  Asbesthaltige Abfälle aus der Elektrolyse;-;-
2010;EAV-060702-G;  Aktivkohle aus der Chlorherstellung;3;0,1
2010;EAV-060703-G;  Quecksilberhaltige Bariumsulfatschlämme;-;-
2010;EAV-060704-G;  Lösungen und Säuren, z.B. Kontaktsäure;3;0,6
2010;EAV-060799-U;  Halogene: Abfälle a.n.g.;5;0,1
2010;EAV-060802-G;  Gefährliche Chlorsilane enthaltende Abfälle;3;2,3
2010;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;19;18,2
