GENESIS table: 32136-0005
Sales packaging after sorting: Germany,;;;;;;;
Years, types of materials, types of recycling;;;;;;;
Survey of returned sales packaging;;;;;;;
Germany;;;;;;;
Sales packaging after sorting (1000 t);;;;;;;
;;Types of exploitation;Types of exploitation;Types of exploitation;Types of exploitation;Types of exploitation;Types of exploitation
;;Recycling;Other forms of recycling;Energy recovery;Other forms of recycling;Other destination;Total
2010; glass; 1923.5; 1.2; 0.1; 1.6; 0.0; 1926.4
2010;Plastics;480.2;100.3;561.5;6.2;0.9;1149.2
2010;Paper, cardboard, cardboard;1112.2;41.3;1.5;19.0;0.8;1174.8
2010;Metals;371.4;4.0;.;2.1;.;377.6
2010;Aluminum;67.5;0.8;.;0.6;.;68.9
2010;Steel, tinplate;303.9;3.2;-;1.5;0.0;308.6
2010;Other materials;.;0.5;47.9;.;9.1;183.4
2010; Non-packaging of the same material / sorting residues;.;-;433.0;.;399.8;882.6
2010;Total;4014.5;147.3;1044.0;77.5;410.5;5693.9
2011;Glass;1998,6;.;-;.;.;2007,5
2011;Plastics;494.5;23.2;656.9;.;.;1207.5
2011;Paper, cardboard, cardboard;1183.9;31.6;.;.;19.0;1250.0
2011;Metals;382.3;.;-;.;7.9;394.4
2011;Aluminum;64.4;.;-;.;1.2;66.5
2011;Steel, tinplate;310.3;.;-;.;4.5;317.9
2011;Other materials;121.1;0.7;.;1.5;.;158.7
2011; Non-packaging of the same material / sorting residue; 56.4;.; 332.1;.; 303.4; 692.9
2011;Total;4236.9;58.0;1021.4;33.6;361.1;5711.0
2012;glass;1976.2;.;-;.;.;1992.1
2012;Plastics;506.7;37.9;680.9;.;.;1262.8
2012;Paper, cardboard, carton;1171.4;30.7;.;.;14.5;1244.6
2012;Metals;340.8;42.7;-;.;.;393.7
2012;Aluminum;56.4;.;-;.;.;67.1
2012;Steel, tinplate;284.3;.;-;.;4.8;326.5
2012;Other materials;132.6;.;.;3.1;3.6;151.7
2012; Non-packaging of the same material / sorting residue; 3.2;.; 363.2;.; 444.3; 811.8
2012;Total;4131.0;121.8;1058.1;51.0;495.0;5856.8
2013;Glass;2070.0;.;-;.;13.6;2091.2
2013;Plastics;531.0;72.3;699.1;.;.;1342.9
2013;paper, cardboard, cardboard;1192.5;101.8;0.3;.;.;1332.7
2013;Metals;366.7;39.4;-;.;.;415.7
2013;Aluminum;56.9;.;-;.;.;66.5
2013;Steel, tinplate;309.8;.;-;.;.;349.1
2013;Other materials;142.2;.;26.0;.;1.8;172.9
2013;Non-packaging of the same material / sorting residues;1.3;.;419.7;.;413.5;841.2
2013;Total;4303.6;224.0;1145.1;50.0;473.9;6196.6
2014;Glass;2007,1;.;-;.;.;2026,2
2014;Plastics;563.8;53.5;761.6;.;.;1410.9
2014;Paper, cardboard, cardboard;1147.0;89.6;.;.;.;1284.0
