GENESIS table: 32136-0004
Sales packaging after sorting: Germany,;;;
years, types of material;;;
Survey of returned sales packaging;;;
Germany;;;
;;Sales packaging after sorting;Handing over of sales packaging. n.d. Sort. to abroad
;;1000 t;1000 t
2010; glass; 1926.4; 39.3
2010;Plastics;1149.2;132.4
2010;paper, cardboard, cardboard;1174.8;145.8
2010;Metals;377.6;4.5
2010; Aluminum; 68.9; 2.7
2010;Steel, tinplate;308.6;1.8
2010;Other materials;183.4;3.9
2010; Non-packaging of the same material / sorting residues; 882.6; 0.2
2010;Total;5693.9;326.1
2011;Glass;2007.5;52.0
2011;Plastics;1207.5;143.7
2011; paper, cardboard, cardboard; 1250.0; 155.4
2011;Metals;394.4;.
2011;Aluminum;66.5;.
2011;steel, tinplate;317.9;1.5
2011;Other materials;158.7;9.1
2011;Non-packaging of the same material / sorting residues;692.9;.
2011;Total;5711.0;363.5
2012;Glass;1992.1;71.7
2012;Plastics;1262.8;149.3
2012;paper, cardboard, cardboard;1244.6;142.6
2012;Metals;393.7;.
2012;Aluminium;67.1;.
2012;steel, tinplate;326.5;2.4
2012;Other materials;151.7;10.3
2012;Non-packaging of the same material / sorting residue;811.8;.
2012;Total;5856.8;378.4
2013;Glass;2091.2;.
2013;Plastics;1342.9;151.7
2013;Paper, cardboard, cardboard;1332.7;120.7
2013;Metals;415.7;2.6
2013;Aluminium;66.5;0.3
2013;Steel, tinplate;349.1;2.3
2013;Other materials;172.9;5.1
2013;Non-packaging of the same material / sorting residues;841.2;.
2013;Total;6196.6;325.8
2014; glass; 2026.2; 41.2
2014;Plastics;1410.9;150.1
2014;Paper, cardboard, cardboard;1284.0;116.3
2014;Metals;401.2;8.1
2014;Aluminium;66.2;0.2
2014;Steel, tinplate;334.9;7.9
2014;Other materials;173.8;4.5
2014; Non-packaging of the same material / sorting residue; 767.7; 0.4
2014;Total;6063.7;320.7
2015;Glass;1886.6;45.3
2015;Plastics;1230.3;114.0
2015;Paper, cardboard, cardboard;1186.7;140.0
2015;Metals;337.2;7.1
2015;Aluminum;62.5;0.0
2015;steel, tinplate;274.6;7.0
2015;Other materials;135.9;.
2015;Non-packaging of the same material / sorting residues;741.8;.
2015;Total;5518.4;313.0
2016;Glass;1878.6;27.9
2016;Plastics;1209.8;127.4
2016;Paper, cardboard, cardboard;1195.0;159.8
2016;Metals;331.9;8.9
2016;Aluminum;60.5;0.1
2016;Steel, tinplate;271.4;8.8
2016;Other materials;172.6;11.0
2016; Non-packaging of the same material / sorting residue; 662.9; 0.7
2016;Total;5450.9;335.7
2017;Glass;1870.8;31.1
2017;Plastics;1233.8;148.1
2017;Paper, cardboard, cardboard;1232.1;154.4
2017;Metals;332.6;8.5
2017;Aluminium;61.2;.
2017;steel, tinplate;271.4;.
2017;Other materials;141.8;7.9
2017; non-packaging of the same material / sorting residue; 580.8; 2.6
2017;Total;5391.8;352.7
2018;Glass;1798.3;31.4
2018;Plastics;1200.5;134.1
2018;paper, cardboard, cardboard;1356.5;171.4
2018;Metals;316.8;15.5
2018;Aluminum;63.1;.
2018;steel, tinplate;253.8;.
2018;Other materials;115.3;5.3
2018;Non-packaging of the same material / sorting residues;616.5;3.2
2018;Total;5403.9;360.9
2019;Glass;1901.1;33.0
2019;Plastics;1282.0;203.3
2019;Paper, cardboard, cardboard;1303.0;185.8
2019;Metals;346.0;22.9
2019;Aluminum;75.2;0.1
2019;Steel, tinplate;270.7;22.8
2019;Other materials;135.3;22.2
2019;Non-packaging of the same material / sorting residues;667.7;4.7
2019;Total;5635.2;472.0
2020;Glass;2040.8;11.4
2020;Plastics;1302.9;278.2
2020;Paper, cardboard, cardboard;1872.3;214.3
2020;Metals;368.0;25.8
2020; Aluminum; 82.1; 0.4
2020;steel, tinplate;286.0;25.5
2020;Other materials;139.8;19.0
2020;Non-packaging of the same material / sorting residues;712.1;19.7
2020;Total;6436.0;568.5
__________
© Federal Statistical Office (Destatis), 2023
Status: 08/30/2023 / 20:49:47
