Statistics_Code,Statistics_Label,time_code,time_label,Time,1_feature_code,1_feature_label,1_expression_code,1_expression_label,UNT003__Company__Number,VPK002__Recorded_sales packaging_from_priv._end users__1000_t,VPK003__Erf._Sales packaging_v._priv._Endverbr._per_Einw.__kg,VPK004__Verkaufsverpackungen_nach_der_Sortierung__1000_t,VPK005__Delivery_of_sales_package_n.d._sort._to_the_abroad__1000_t
32136,Survey of returned sales packaging,YEAR,YEAR,2010,DINSG,Germany as a whole,DG,Germany,40,"5772,6",71,"5693,9","326,1"
32136,Survey of returned sales packaging,YEAR,YEAR,2011,DINSG,Germany as a whole,DG,Germany,41,"5913,0",74,"5711,0","363,5"
32136,Survey of returned sales packaging,YEAR,YEAR,2012,DINSG,Germany as a whole,DG,Germany,41,"6051,9",75,"5856,8","378,4"
32136,Survey of returned sales packaging,YEAR,YEAR,2013,DINSG,Germany as a whole,DG,Germany,41,"6382,2",79,"6196,6","325,8"
32136,Survey of returned sales packaging,YEAR,YEAR,2014,DINSG,Germany as a whole,DG,Germany,42,"6374,6",79,"6063,7","320,7"
32136,Survey of returned sales packaging,YEAR,YEAR,2015,DINSG,Germany as a whole,DG,Germany,32,"5598,5",68,"5518,4","313,0"
32136,Survey of returned sales packaging,YEAR,YEAR,2016,DINSG,Germany as a whole,DG,Germany,32,"5647,3",68,"5450,9","335,7"
32136,Survey of returned sales packaging,YEAR,YEAR,2017,DINSG,Germany as a whole,DG,Germany,28,"5694,5",69,"5391,8","352,7"
32136,Survey of returned sales packaging,YEAR,YEAR,2018,DINSG,Germany as a whole,DG,Germany,21,"5668,2",68,"5403,9","360,9"
32136,Survey of returned sales packaging,YEAR,YEAR,2019,DINSG,Germany as a whole,DG,Germany,20,"5949,8",72,"5635,2","472,0"
32136,Survey of returned sales packaging,YEAR,YEAR,2020,DINSG,Germany as a whole,DG,Germany,16,"6503,0",78,"6436,0","568,5"
