Statistics_Code,Statistics_Label,time_code,time_label,Time,1_feature_code,1_feature_label,1_expression_code,1_expression_label,Company_Number,Recorded_Sales_Packaging_From_Private_End_Users,Erf._Sales packaging_v._priv._final_burn._per_inv
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,8,Baden-Wuerttemberg,.,908.8,82
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,9,Bayern,.,918.9,70
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,11,Berlin,.,191.7,52
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,12,Brandenburg,.,225.4,89
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,4,Bremen,.,45.3,67
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,2,Hamburg,.,111.0,60
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,6,Hesse,.,471.3,75
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,13,Mecklenburg-Vorpommern,.,146.3,91
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,3,Lower Saxony,.,687.5,86
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,5,North Rhine-Westphalia,.,1354.2,76
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,7,Rhineland-Palatinate,.,385.8,94
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,10,Saarland,.,87.0,88
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,14,Saxony,.,343.0,85
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,15,Saxony-Anhalt,.,198.0,91
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,1,Schleswig-Holstein,.,248.6,85
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DLAND,Federal states,16,Thuringia,.,180.0,85
