Statistics_Code,Statistics_Label,time_code,time_label,Time,1_feature_code,1_feature_label,1_expression_code,1_expression_label,2_feature_code,2_Feature_Label,2_expression_code,2_expression_label,3_feature_code,3_feature_label,3_expression_code,3_expression_label,Sales_packaging_after_sorting
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,FOOD GLASS,Glas,.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,MAT-KST,plastics,752.3
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,MAT-PPK,"Paper, cardboard, cardboard",1816.0
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,MAT-MET,metals,355.4
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,Mat-met-cry,Aluminium,.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,MAT-MET-STWB,"steel, tinplate",.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,MAT-OTHER,Other materials,139.3
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,MAT-REST,Non-packaging of the same material / sorting residue,.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-WERK,Material recycling,MATAT2,material types,in,In total,5098.1
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-STOFF,Other forms of recycling,MATAT2,material types,FOOD GLASS,Glas,.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-STOFF,Other forms of recycling,MATAT2,material types,MAT-KST,plastics,20.9
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-STOFF,Other forms of recycling,MATAT2,material types,MAT-PPK,"Paper, cardboard, cardboard",.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-STOFF,Other forms of recycling,MATAT2,material types,MAT-MET,metals,12.6
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-STOFF,Other forms of recycling,MATAT2,material types,Mat-met-cry,Aluminium,.
32136,Survey of returned sales packaging,JAHR,Jahr,2020,DINSG,Germany as a whole,DG,Deutschland,VPKVW1,types of exploitation,VPK-VW-STOFF,Other forms of recycling,MATAT2,material types,MAT-MET-STWB,"steel, tinplate",.
