GENESIS-Tabelle: 32136-0005
Verkaufsverpackungen nach der Sortierung: Deutschland,;;;;;;;
Jahre, Materialarten, Verwertungsarten;;;;;;;
Erhebung ¸ber zur¸ckgenommene Verkaufsverpackungen;;;;;;;
Deutschland;;;;;;;
Verkaufsverpackungen nach der Sortierung (1000 t);;;;;;;
;;Verwertungsarten;Verwertungsarten;Verwertungsarten;Verwertungsarten;Verwertungsarten;Verwertungsarten
;;Werkstoffliche Verwertung;Andere Formen der stofflichen Verwertung;Energetische Verwertung;Andere Formen der Verwertung;Sonstiger Verbleib;Insgesamt
2010;Glas;1923,5;1,2;0,1;1,6;0,0;1926,4
2010;Kunststoffe;480,2;100,3;561,5;6,2;0,9;1149,2
2010;Papier, Pappe, Karton;1112,2;41,3;1,5;19,0;0,8;1174,8
2010;Metalle;371,4;4,0;.;2,1;.;377,6
2010;Aluminium;67,5;0,8;.;0,6;.;68,9
2010;Stahl, Weiﬂblech;303,9;3,2;-;1,5;0,0;308,6
2010;Sonstige Materialien;.;0,5;47,9;.;9,1;183,4
2010;Stoffgleiche Nichtverpackungen / Sortierreste;.;-;433,0;.;399,8;882,6
2010;Insgesamt;4014,5;147,3;1044,0;77,5;410,5;5693,9
2011;Glas;1998,6;.;-;.;.;2007,5
2011;Kunststoffe;494,5;23,2;656,9;.;.;1207,5
2011;Papier, Pappe, Karton;1183,9;31,6;.;.;19,0;1250,0
2011;Metalle;382,3;.;-;.;7,9;394,4
2011;Aluminium;64,4;.;-;.;1,2;66,5
2011;Stahl, Weiﬂblech;310,3;.;-;.;4,5;317,9
2011;Sonstige Materialien;121,1;0,7;.;1,5;.;158,7
2011;Stoffgleiche Nichtverpackungen / Sortierreste;56,4;.;332,1;.;303,4;692,9
2011;Insgesamt;4236,9;58,0;1021,4;33,6;361,1;5711,0
2012;Glas;1976,2;.;-;.;.;1992,1
2012;Kunststoffe;506,7;37,9;680,9;.;.;1262,8
2012;Papier, Pappe, Karton;1171,4;30,7;.;.;14,5;1244,6
2012;Metalle;340,8;42,7;-;.;.;393,7
2012;Aluminium;56,4;.;-;.;.;67,1
2012;Stahl, Weiﬂblech;284,3;.;-;.;4,8;326,5
2012;Sonstige Materialien;132,6;.;.;3,1;3,6;151,7
2012;Stoffgleiche Nichtverpackungen / Sortierreste;3,2;.;363,2;.;444,3;811,8
2012;Insgesamt;4131,0;121,8;1058,1;51,0;495,0;5856,8
2013;Glas;2070,0;.;-;.;13,6;2091,2
2013;Kunststoffe;531,0;72,3;699,1;.;.;1342,9
2013;Papier, Pappe, Karton;1192,5;101,8;0,3;.;.;1332,7
2013;Metalle;366,7;39,4;-;.;.;415,7
