GENESIS-Tabelle: 32136-0004
Verkaufsverpackungen nach der Sortierung: Deutschland,;;;
Jahre, Materialarten;;;
Erhebung ¸ber zur¸ckgenommene Verkaufsverpackungen;;;
Deutschland;;;
;;Verkaufsverpackungen nach der Sortierung;Abgabe von Verkaufsverp. n.d. Sort. an das Ausland
;;1000 t;1000 t
2010;Glas;1926,4;39,3
2010;Kunststoffe;1149,2;132,4
2010;Papier, Pappe, Karton;1174,8;145,8
2010;Metalle;377,6;4,5
2010;Aluminium;68,9;2,7
2010;Stahl, Weiﬂblech;308,6;1,8
2010;Sonstige Materialien;183,4;3,9
2010;Stoffgleiche Nichtverpackungen / Sortierreste;882,6;0,2
2010;Insgesamt;5693,9;326,1
2011;Glas;2007,5;52,0
2011;Kunststoffe;1207,5;143,7
2011;Papier, Pappe, Karton;1250,0;155,4
2011;Metalle;394,4;.
2011;Aluminium;66,5;.
2011;Stahl, Weiﬂblech;317,9;1,5
2011;Sonstige Materialien;158,7;9,1
2011;Stoffgleiche Nichtverpackungen / Sortierreste;692,9;.
2011;Insgesamt;5711,0;363,5
2012;Glas;1992,1;71,7
2012;Kunststoffe;1262,8;149,3
2012;Papier, Pappe, Karton;1244,6;142,6
2012;Metalle;393,7;.
2012;Aluminium;67,1;.
2012;Stahl, Weiﬂblech;326,5;2,4
2012;Sonstige Materialien;151,7;10,3
2012;Stoffgleiche Nichtverpackungen / Sortierreste;811,8;.
2012;Insgesamt;5856,8;378,4
2013;Glas;2091,2;.
2013;Kunststoffe;1342,9;151,7
2013;Papier, Pappe, Karton;1332,7;120,7
2013;Metalle;415,7;2,6
2013;Aluminium;66,5;0,3
2013;Stahl, Weiﬂblech;349,1;2,3
2013;Sonstige Materialien;172,9;5,1
2013;Stoffgleiche Nichtverpackungen / Sortierreste;841,2;.
2013;Insgesamt;6196,6;325,8
2014;Glas;2026,2;41,2
2014;Kunststoffe;1410,9;150,1
2014;Papier, Pappe, Karton;1284,0;116,3
2014;Metalle;401,2;8,1
2014;Aluminium;66,2;0,2
2014;Stahl, Weiﬂblech;334,9;7,9
2014;Sonstige Materialien;173,8;4,5
2014;Stoffgleiche Nichtverpackungen / Sortierreste;767,7;0,4
2014;Insgesamt;6063,7;320,7
2015;Glas;1886,6;45,3
2015;Kunststoffe;1230,3;114,0
2015;Papier, Pappe, Karton;1186,7;140,0
2015;Metalle;337,2;7,1
2015;Aluminium;62,5;0,0
2015;Stahl, Weiﬂblech;274,6;7,0
2015;Sonstige Materialien;135,9;.
2015;Stoffgleiche Nichtverpackungen / Sortierreste;741,8;.
2015;Insgesamt;5518,4;313,0
2016;Glas;1878,6;27,9
2016;Kunststoffe;1209,8;127,4
2016;Papier, Pappe, Karton;1195,0;159,8
2016;Metalle;331,9;8,9
2016;Aluminium;60,5;0,1
2016;Stahl, Weiﬂblech;271,4;8,8
2016;Sonstige Materialien;172,6;11,0
2016;Stoffgleiche Nichtverpackungen / Sortierreste;662,9;0,7
2016;Insgesamt;5450,9;335,7
2017;Glas;1870,8;31,1
2017;Kunststoffe;1233,8;148,1
2017;Papier, Pappe, Karton;1232,1;154,4
2017;Metalle;332,6;8,5
2017;Aluminium;61,2;.
2017;Stahl, Weiﬂblech;271,4;.
2017;Sonstige Materialien;141,8;7,9
2017;Stoffgleiche Nichtverpackungen / Sortierreste;580,8;2,6
2017;Insgesamt;5391,8;352,7
2018;Glas;1798,3;31,4
2018;Kunststoffe;1200,5;134,1
2018;Papier, Pappe, Karton;1356,5;171,4
2018;Metalle;316,8;15,5
2018;Aluminium;63,1;.
2018;Stahl, Weiﬂblech;253,8;.
2018;Sonstige Materialien;115,3;5,3
2018;Stoffgleiche Nichtverpackungen / Sortierreste;616,5;3,2
2018;Insgesamt;5403,9;360,9
2019;Glas;1901,1;33,0
2019;Kunststoffe;1282,0;203,3
2019;Papier, Pappe, Karton;1303,0;185,8
2019;Metalle;346,0;22,9
2019;Aluminium;75,2;0,1
2019;Stahl, Weiﬂblech;270,7;22,8
2019;Sonstige Materialien;135,3;22,2
2019;Stoffgleiche Nichtverpackungen / Sortierreste;667,7;4,7
2019;Insgesamt;5635,2;472,0
2020;Glas;2040,8;11,4
2020;Kunststoffe;1302,9;278,2
2020;Papier, Pappe, Karton;1872,3;214,3
2020;Metalle;368,0;25,8
2020;Aluminium;82,1;0,4
2020;Stahl, Weiﬂblech;286,0;25,5
2020;Sonstige Materialien;139,8;19,0
2020;Stoffgleiche Nichtverpackungen / Sortierreste;712,1;19,7
2020;Insgesamt;6436,0;568,5
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:49:47
