GENESIS-Tabelle: 32136-0006
Verkaufsverpackungen nach der Sortierung: Deutschland,;;;;
Jahre, Rücknahmearten, Verwertungsarten;;;;
Erhebung über zurückgenommene Verkaufsverpackungen;;;;
Deutschland;;;;
Verkaufsverpackungen nach der Sortierung (1000 t);;;;
;;Rücknahmearten;Rücknahmearten;Rücknahmearten
;;Branchenlösungen;Systembetreiber;Insgesamt
2010;Werkstoffliche Verwertung;483,8;3530,7;4014,5
2010;Andere Formen der stofflichen Verwertung;21,9;125,5;147,3
2010;Energetische Verwertung;33,6;1010,4;1044,0
2010;Andere Formen der Verwertung;29,7;47,8;77,5
2010;Sonstiger Verbleib;126,4;284,2;410,5
2010;Insgesamt;695,4;4998,5;5693,9
2011;Werkstoffliche Verwertung;527,3;3709,6;4236,9
2011;Andere Formen der stofflichen Verwertung;.;.;58,0
2011;Energetische Verwertung;42,3;979,1;1021,4
2011;Andere Formen der Verwertung;.;.;33,6
2011;Sonstiger Verbleib;94,9;266,2;361,1
2011;Insgesamt;716,4;4994,6;5711,0
2012;Werkstoffliche Verwertung;550,8;3580,1;4131,0
2012;Andere Formen der stofflichen Verwertung;.;.;121,8
2012;Energetische Verwertung;31,3;1026,8;1058,1
2012;Andere Formen der Verwertung;.;.;51,0
2012;Sonstiger Verbleib;112,1;382,9;495,0
2012;Insgesamt;762,8;5094,0;5856,8
2013;Werkstoffliche Verwertung;602,4;3701,2;4303,6
2013;Andere Formen der stofflichen Verwertung;.;.;224,0
2013;Energetische Verwertung;34,5;1110,6;1145,1
2013;Andere Formen der Verwertung;.;.;50,0
2013;Sonstiger Verbleib;107,0;366,9;473,9
2013;Insgesamt;829,2;5367,5;6196,6
2014;Werkstoffliche Verwertung;631,6;3593,0;4224,6
2014;Andere Formen der stofflichen Verwertung;.;164,3;.
2014;Energetische Verwertung;41,8;1113,1;1154,9
2014;Andere Formen der Verwertung;.;-;.
2014;Sonstiger Verbleib;157,9;317,6;475,5
2014;Insgesamt;875,7;5188,0;6063,7
2015;Werkstoffliche Verwertung;40,8;3930,8;3971,6
2015;Andere Formen der stofflichen Verwertung;3,6;43,7;47,3
2015;Energetische Verwertung;1,9;1165,6;1167,5
2015;Andere Formen der Verwertung;-;-;-
2015;Sonstiger Verbleib;8,5;323,5;332,0
2015;Insgesamt;54,8;5463,7;5518,4
2016;Werkstoffliche Verwertung;43,0;3935,5;3978,5
2016;Andere Formen der stofflichen Verwertung;.;.;.
2016;Energetische Verwertung;1,9;1144,4;1146,3
2016;Andere Formen der Verwertung;.;.;.
2016;Sonstiger Verbleib;10,0;278,9;288,9
2016;Insgesamt;58,5;5392,4;5450,9
2017;Werkstoffliche Verwertung;44,4;3879,0;3923,4
2017;Andere Formen der stofflichen Verwertung;.;.;124,7
2017;Energetische Verwertung;2,3;1211,5;1213,8
2017;Andere Formen der Verwertung;-;.;.
2017;Sonstiger Verbleib;.;118,9;.
2017;Insgesamt;59,3;5332,5;5391,8
2018;Werkstoffliche Verwertung;43,9;3947,7;3991,6
2018;Andere Formen der stofflichen Verwertung;.;.;80,1
2018;Energetische Verwertung;2,6;1189,4;1192,0
2018;Andere Formen der Verwertung;-;.;.
2018;Sonstiger Verbleib;.;128,3;.
2018;Insgesamt;57,2;5346,6;5403,9
2019;Werkstoffliche Verwertung;29,5;4161,0;4190,6
2019;Andere Formen der stofflichen Verwertung;2,2;.;.
2019;Energetische Verwertung;2,0;899,8;901,9
2019;Andere Formen der Verwertung;-;.;.
2019;Sonstiger Verbleib;5,6;339,6;345,1
2019;Insgesamt;39,3;5596,0;5635,2
2020;Werkstoffliche Verwertung;18,2;5079,9;5098,1
2020;Andere Formen der stofflichen Verwertung;.;.;95,2
2020;Energetische Verwertung;1,2;779,5;780,7
2020;Andere Formen der Verwertung;-;.;.
2020;Sonstiger Verbleib;.;452,1;.
2020;Insgesamt;25,0;6410,9;6436,0
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 30.08.2023 / 20:55:53
